book,chapter,paragraph,title,startVerseNo,endVerseNo
nahum,1,1,"(无小标题)",1,1
nahum,1,2,"耶和华向尼尼微发怒",2,8
nahum,1,3,"耶和华向尼尼微发怒",9,14
nahum,1,4,"耶和华向尼尼微发怒",15,15
nahum,2,1,"尼尼微的覆灭",1,1
nahum,2,2,"尼尼微的覆灭",2,2
nahum,2,3,"尼尼微的覆灭",3,10
nahum,2,4,"尼尼微的覆灭",11,13
nahum,3,1,"尼尼微的灾祸",1,4
nahum,3,2,"尼尼微的灾祸",5,7
nahum,3,3,"尼尼微的灾祸",8,13
nahum,3,4,"尼尼微的灾祸",14,19
nahum,1,1,"(无小标题)",1,1
nahum,1,2,"耶和华向尼尼微发怒",2,8
nahum,1,3,"耶和华向尼尼微发怒",9,14
nahum,1,4,"耶和华向尼尼微发怒",15,15
nahum,2,1,"尼尼微的覆灭",1,1
nahum,2,2,"尼尼微的覆灭",2,2
nahum,2,3,"尼尼微的覆灭",3,10
nahum,2,4,"尼尼微的覆灭",11,13
nahum,3,1,"尼尼微的灾祸",1,4
nahum,3,2,"尼尼微的灾祸",5,7
nahum,3,3,"尼尼微的灾祸",8,13
nahum,3,4,"尼尼微的灾祸",14,19
nahum,1,1,"(无小标题)",1,1
nahum,1,2,"耶和华向尼尼微发怒",2,8
nahum,1,3,"耶和华向尼尼微发怒",9,14
nahum,1,4,"耶和华向尼尼微发怒",15,15
nahum,2,1,"尼尼微的覆灭",1,1
nahum,2,2,"尼尼微的覆灭",2,2
nahum,2,3,"尼尼微的覆灭",3,10
nahum,2,4,"尼尼微的覆灭",11,13
nahum,3,1,"尼尼微的灾祸",1,4
nahum,3,2,"尼尼微的灾祸",5,7
nahum,3,3,"尼尼微的灾祸",8,13
nahum,3,4,"尼尼微的灾祸",14,19
