book,chapter,paragraph,title,startVerseNo,endVerseNo
php,1,1,"(无小标题)",1,1
php,1,2,"(无小标题)",2,2
php,1,3,"感恩和祷告",3,8
php,1,4,"感恩和祷告",9,11
php,1,5,"为基督而活",12,19
php,1,6,"为基督而活",20,26
php,1,7,"为基督而活",27,30
php,2,1,"效法基督",1,5
php,2,2,"效法基督",6,11
php,2,3,"暗世明灯",12,13
php,2,4,"暗世明灯",14,18
php,2,5,"保罗的得力同工",19,24
php,2,6,"保罗的得力同工",25,30
php,3,1,"认识基督最宝贵",1,11
php,3,2,"直奔标竿",12,16
php,3,3,"直奔标竿",17,21
php,4,1,"保罗的劝勉",1,3
php,4,2,"保罗的劝勉",4,7
php,4,3,"保罗的劝勉",8,9
php,4,4,"致谢",10,13
php,4,5,"致谢",14,19
php,4,6,"致谢",20,20
php,4,7,"问候",21,22
php,4,8,"问候",23,23
php,1,1,"(无小标题)",1,1
php,1,2,"(无小标题)",2,2
php,1,3,"感恩和祷告",3,8
php,1,4,"感恩和祷告",9,11
php,1,5,"为基督而活",12,19
php,1,6,"为基督而活",20,26
php,1,7,"为基督而活",27,30
php,2,1,"效法基督",1,5
php,2,2,"效法基督",6,11
php,2,3,"暗世明灯",12,13
php,2,4,"暗世明灯",14,18
php,2,5,"保罗的得力同工",19,24
php,2,6,"保罗的得力同工",25,30
php,3,1,"认识基督最宝贵",1,11
php,3,2,"直奔标竿",12,16
php,3,3,"直奔标竿",17,21
php,4,1,"保罗的劝勉",1,3
php,4,2,"保罗的劝勉",4,7
php,4,3,"保罗的劝勉",8,9
php,4,4,"致谢",10,13
php,4,5,"致谢",14,19
php,4,6,"致谢",20,20
php,4,7,"问候",21,22
php,4,8,"问候",23,23
