book,chapter,paragraph,title,startVerseNo,endVerseNo
zec,1,1,"呼唤人民归向耶和华",1,6
zec,1,2,"有关骑士的异象",7,11
zec,1,3,"有关骑士的异象",12,13
zec,1,4,"有关骑士的异象",14,17
zec,1,5,"有关角和工匠的异象",18,21
zec,2,1,"准绳",1,5
zec,2,2,"准绳",6,13
zec,3,1,"约书亚大祭司",1,4
zec,3,2,"约书亚大祭司",5,5
zec,3,3,"约书亚大祭司",6,10
zec,4,1,"金灯台和橄榄树",1,2
zec,4,2,"金灯台和橄榄树",2,5
zec,4,3,"金灯台和橄榄树",6,7
zec,4,4,"金灯台和橄榄树",8,10
zec,4,5,"金灯台和橄榄树",10,10
zec,4,6,"金灯台和橄榄树",11,14
zec,5,1,"飞行的书卷",1,4
zec,5,2,"量器中的女子",5,11
zec,6,1,"四辆马车",1,8
zec,6,2,"为约书亚加冕",9,14
zec,6,3,"为约书亚加冕",15,15
zec,7,1,"呼吁公义和怜悯",1,3
zec,7,2,"呼吁公义和怜悯",4,7
zec,7,3,"呼吁公义和怜悯",8,14
zec,8,1,"对耶路撒冷的应许",1,8
zec,8,2,"对耶路撒冷的应许",9,13
zec,8,3,"对耶路撒冷的应许",14,17
zec,8,4,"对耶路撒冷的应许",18,23
zec,9,1,"审判邻国",1,4
zec,9,2,"审判邻国",5,8
zec,9,3,"要来的君王",9,13
zec,9,4,"要来的君王",14,17
zec,10,1,"耶和华应许拯救以色列",1,2
zec,10,2,"耶和华应许拯救以色列",3,5
zec,10,3,"耶和华应许拯救以色列",6,7
zec,10,4,"耶和华应许拯救以色列",8,12
zec,11,1,"羊群必遭杀戮",1,1
zec,11,2,"羊群必遭杀戮",1,3
zec,11,3,"羊群必遭杀戮",4,6
zec,11,4,"羊群必遭杀戮",7,8
zec,11,5,"羊群必遭杀戮",8,11
zec,11,6,"羊群必遭杀戮",12,14
zec,11,7,"羊群必遭杀戮",15,16
zec,11,8,"羊群必遭杀戮",17,17
zec,12,1,"耶路撒冷必蒙拯救",1,1
zec,12,2,"耶路撒冷必蒙拯救",1,5
zec,12,3,"耶路撒冷必蒙拯救",6,6
zec,12,4,"耶路撒冷必蒙拯救",7,9
zec,12,5,"耶路撒冷必蒙拯救",10,14
zec,13,1,"(无小标题)",1,1
zec,13,2,"(无小标题)",2,6
zec,13,3,"牧人被杀",7,7
zec,13,4,"牧人被杀",7,9
zec,14,1,"耶和华的日子",1,7
zec,14,2,"耶和华的日子",8,11
zec,14,3,"耶和华的日子",12,15
zec,14,4,"耶和华的日子",16,21
zec,1,1,"呼唤人民归向耶和华",1,6
zec,1,2,"有关骑士的异象",7,11
zec,1,3,"有关骑士的异象",12,13
zec,1,4,"有关骑士的异象",14,17
zec,1,5,"有关角和工匠的异象",18,21
zec,2,1,"准绳",1,5
zec,2,2,"准绳",6,13
zec,3,1,"约书亚大祭司",1,4
zec,3,2,"约书亚大祭司",5,5
zec,3,3,"约书亚大祭司",6,10
zec,4,1,"金灯台和橄榄树",1,2
zec,4,2,"金灯台和橄榄树",2,5
zec,4,3,"金灯台和橄榄树",6,7
zec,4,4,"金灯台和橄榄树",8,10
zec,4,5,"金灯台和橄榄树",10,10
zec,4,6,"金灯台和橄榄树",11,14
zec,5,1,"飞行的书卷",1,4
zec,5,2,"量器中的女子",5,11
zec,6,1,"四辆马车",1,8
zec,6,2,"为约书亚加冕",9,14
zec,6,3,"为约书亚加冕",15,15
zec,7,1,"呼吁公义和怜悯",1,3
zec,7,2,"呼吁公义和怜悯",4,7
zec,7,3,"呼吁公义和怜悯",8,14
zec,8,1,"对耶路撒冷的应许",1,8
zec,8,2,"对耶路撒冷的应许",9,13
zec,8,3,"对耶路撒冷的应许",14,17
zec,8,4,"对耶路撒冷的应许",18,23
zec,9,1,"审判邻国",1,4
zec,9,2,"审判邻国",5,8
zec,9,3,"要来的君王",9,13
zec,9,4,"要来的君王",14,17
zec,10,1,"耶和华应许拯救以色列",1,2
zec,10,2,"耶和华应许拯救以色列",3,5
zec,10,3,"耶和华应许拯救以色列",6,7
zec,10,4,"耶和华应许拯救以色列",8,12
zec,11,1,"羊群必遭杀戮",1,1
zec,11,2,"羊群必遭杀戮",1,3
zec,11,3,"羊群必遭杀戮",4,6
zec,11,4,"羊群必遭杀戮",7,8
zec,11,5,"羊群必遭杀戮",8,11
zec,11,6,"羊群必遭杀戮",12,14
zec,11,7,"羊群必遭杀戮",15,16
zec,11,8,"羊群必遭杀戮",17,17
zec,12,1,"耶路撒冷必蒙拯救",1,1
zec,12,2,"耶路撒冷必蒙拯救",1,5
zec,12,3,"耶路撒冷必蒙拯救",6,6
zec,12,4,"耶路撒冷必蒙拯救",7,9
zec,12,5,"耶路撒冷必蒙拯救",10,14
zec,13,1,"(无小标题)",1,1
zec,13,2,"(无小标题)",2,6
zec,13,3,"牧人被杀",7,7
zec,13,4,"牧人被杀",7,9
zec,14,1,"耶和华的日子",1,7
zec,14,2,"耶和华的日子",8,11
zec,14,3,"耶和华的日子",12,15
zec,14,4,"耶和华的日子",16,21
