book,chapter,paragraph,title,startVerseNo,endVerseNo
zep,1,1,"(无小标题)",1,1
zep,1,2,"耶和华审判的日子",2,3
zep,1,3,"耶和华审判的日子",4,6
zep,1,4,"耶和华审判的日子",7,13
zep,1,5,"耶和华审判的日子",14,16
zep,1,6,"耶和华审判的日子",17,18
zep,2,1,"呼吁百姓悔改",1,1
zep,2,2,"呼吁百姓悔改",1,3
zep,2,3,"审判以色列的邻国",4,7
zep,2,4,"审判以色列的邻国",8,15
zep,3,1,"耶路撒冷的败坏",1,5
zep,3,2,"耶路撒冷的败坏",6,7
zep,3,3,"耶路撒冷的败坏",8,8
zep,3,4,"耶和华的拯救",9,13
zep,3,5,"欢乐之歌",14,17
zep,3,6,"欢乐之歌",18,20
zep,2,1,"呼吁百姓悔改",1,1
zep,2,2,"呼吁百姓悔改",1,3
zep,2,3,"审判以色列的邻国",4,7
zep,2,4,"审判以色列的邻国",8,15
zep,3,1,"耶路撒冷的败坏",1,5
zep,3,2,"耶路撒冷的败坏",6,7
zep,3,3,"耶路撒冷的败坏",8,8
zep,3,4,"耶和华的拯救",9,13
zep,3,5,"欢乐之歌",14,17
zep,3,6,"欢乐之歌",18,20
