book,chapter,paragraph,title,startVerseNo,endVerseNo
1ch,1,1,"Historical Records From Adam to Abraham",1,3
1ch,2,1,"Israel’s Sons(A)",1,1
1ch,3,1,"(无小标题)",1,1
1ch,3,2,"(无小标题)",4,5
1ch,4,1,"(无小标题)",1,1
1ch,4,2,"(无小标题)",9,10
1ch,4,3,"Simeon(L)",27,33
1ch,4,4,"Simeon(L)",38,40
1ch,4,5,"Simeon(L)",41,43
1ch,5,1,"Reuben",1,3
1ch,5,2,"Gad",17,17
1ch,5,3,"Gad",18,22
1ch,5,4,"The Half-Tribe of Manasseh",23,23
1ch,5,5,"The Half-Tribe of Manasseh",24,26
1ch,6,1,"Levi",1,1
1ch,6,2,"Levi",31,32
1ch,6,3,"Levi",33,33
1ch,6,4,"Levi",48,49
1ch,6,5,"Levi",54,54
1ch,6,6,"Levi",61,61
1ch,6,7,"Levi",62,62
1ch,6,8,"Levi",63,63
1ch,6,9,"Levi",64,65
1ch,6,10,"Levi",66,66
1ch,7,1,"Issachar",1,1
1ch,7,2,"Ephraim",28,29
1ch,7,3,"Asher",40,40
1ch,8,1,"The Genealogy of Saul the Benjamite(A)",1,1
1ch,8,2,"The Genealogy of Saul the Benjamite(A)",28,28
1ch,9,1,"(无小标题)",1,1
1ch,9,2,"The People in Jerusalem(D)",2,2
1ch,9,3,"The People in Jerusalem(D)",3,3
1ch,9,4,"The People in Jerusalem(D)",22,27
1ch,9,5,"The People in Jerusalem(D)",28,32
1ch,9,6,"The People in Jerusalem(D)",33,33
1ch,9,7,"The People in Jerusalem(D)",34,34
1ch,10,1,"Saul Takes His Life(A)",1,3
1ch,10,2,"Saul Takes His Life(A)",4,4
1ch,10,3,"Saul Takes His Life(A)",4,6
1ch,10,4,"Saul Takes His Life(A)",7,7
1ch,10,5,"Saul Takes His Life(A)",8,10
1ch,10,6,"Saul Takes His Life(A)",11,12
1ch,10,7,"Saul Takes His Life(A)",13,14
1ch,11,1,"David Becomes King Over Israel(A)",1,2
1ch,11,2,"David Becomes King Over Israel(A)",3,3
1ch,11,3,"David Conquers Jerusalem(H)",4,5
1ch,11,4,"David Conquers Jerusalem(H)",6,6
1ch,11,5,"David Conquers Jerusalem(H)",7,9
1ch,11,6,"David’s Mighty Warriors(M)",10,11
1ch,11,7,"David’s Mighty Warriors(M)",11,11
1ch,11,8,"David’s Mighty Warriors(M)",12,14
1ch,11,9,"David’s Mighty Warriors(M)",15,19
1ch,11,10,"David’s Mighty Warriors(M)",19,19
1ch,11,11,"David’s Mighty Warriors(M)",20,21
1ch,11,12,"David’s Mighty Warriors(M)",22,25
1ch,12,1,"Warriors Join David",1,2
1ch,12,2,"Warriors Join David",8,8
1ch,12,3,"Warriors Join David",14,15
1ch,12,4,"Warriors Join David",16,17
1ch,12,5,"Warriors Join David",18,18
1ch,12,6,"Warriors Join David",18,18
1ch,12,7,"Warriors Join David",18,18
1ch,12,8,"Warriors Join David",19,22
1ch,12,9,"Others Join David at Hebron",23,23
1ch,12,10,"Others Join David at Hebron",38,40
1ch,13,1,"Bringing Back the Ark(A)",1,4
1ch,13,2,"Bringing Back the Ark(A)",5,6
1ch,13,3,"Bringing Back the Ark(A)",7,8
1ch,13,4,"Bringing Back the Ark(A)",9,10
1ch,13,5,"Bringing Back the Ark(A)",11,11
1ch,13,6,"Bringing Back the Ark(A)",12,14
1ch,14,1,"David’s House and Family(A)",1,2
1ch,14,2,"David’s House and Family(A)",3,7
1ch,14,3,"David Defeats the Philistines(F)",8,10
1ch,14,4,"David Defeats the Philistines(F)",10,10
1ch,14,5,"David Defeats the Philistines(F)",11,12
1ch,14,6,"David Defeats the Philistines(F)",13,16
1ch,14,7,"David Defeats the Philistines(F)",17,17
1ch,15,1,"The Ark Brought to Jerusalem(A)",1,2
1ch,15,2,"The Ark Brought to Jerusalem(A)",3,4
1ch,15,3,"The Ark Brought to Jerusalem(A)",11,15
1ch,15,4,"The Ark Brought to Jerusalem(A)",16,16
1ch,15,5,"The Ark Brought to Jerusalem(A)",17,18
1ch,15,6,"The Ark Brought to Jerusalem(A)",19,22
1ch,15,7,"The Ark Brought to Jerusalem(A)",23,24
1ch,15,8,"The Ark Brought to Jerusalem(A)",25,28
1ch,15,9,"The Ark Brought to Jerusalem(A)",29,29
1ch,16,1,"Ministering Before the Ark(A)(B)(C)",1,3
1ch,16,2,"Ministering Before the Ark(A)(B)(C)",4,6
1ch,16,3,"Ministering Before the Ark(A)(B)(C)",7,7
1ch,16,4,"Ministering Before the Ark(A)(B)(C)",8,11
1ch,16,5,"Ministering Before the Ark(A)(B)(C)",12,14
1ch,16,6,"Ministering Before the Ark(A)(B)(C)",15,18
1ch,16,7,"Ministering Before the Ark(A)(B)(C)",19,22
1ch,16,8,"Ministering Before the Ark(A)(B)(C)",23,24
1ch,16,9,"Ministering Before the Ark(A)(B)(C)",25,27
1ch,16,10,"Ministering Before the Ark(A)(B)(C)",28,30
1ch,16,11,"Ministering Before the Ark(A)(B)(C)",31,33
1ch,16,12,"Ministering Before the Ark(A)(B)(C)",34,36
1ch,16,13,"Ministering Before the Ark(A)(B)(C)",36,36
1ch,16,14,"Ministering Before the Ark(A)(B)(C)",37,38
1ch,16,15,"Ministering Before the Ark(A)(B)(C)",39,42
1ch,16,16,"Ministering Before the Ark(A)(B)(C)",43,43
1ch,17,1,"God’s Promise to David(A)",1,1
1ch,17,2,"God’s Promise to David(A)",2,2
1ch,17,3,"God’s Promise to David(A)",3,3
1ch,17,4,"God’s Promise to David(A)",15,15
1ch,17,5,"David’s Prayer(N)",16,16
1ch,18,1,"David’s Victories(A)",1,1
1ch,18,2,"David’s Victories(A)",2,2
1ch,18,3,"David’s Victories(A)",3,4
1ch,18,4,"David’s Victories(A)",5,6
1ch,18,5,"David’s Victories(A)",7,8
1ch,18,6,"David’s Victories(A)",9,10
1ch,18,7,"David’s Victories(A)",11,11
1ch,18,8,"David’s Victories(A)",12,13
1ch,18,9,"David’s Officials(K)",14,17
1ch,19,1,"David Defeats the Ammonites(A)",1,2
1ch,19,2,"David Defeats the Ammonites(A)",2,4
1ch,19,3,"David Defeats the Ammonites(A)",5,5
