book,chapter,paragraph,title,startVerseNo,endVerseNo
1ki,1,1,"Adonijah Sets Himself Up as King",1,2
1ki,1,2,"Adonijah Sets Himself Up as King",3,4
1ki,1,3,"Adonijah Sets Himself Up as King",5,6
1ki,1,4,"Adonijah Sets Himself Up as King",7,8
1ki,1,5,"Adonijah Sets Himself Up as King",9,10
1ki,1,6,"Adonijah Sets Himself Up as King",11,14
1ki,1,7,"Adonijah Sets Himself Up as King",15,16
1ki,1,8,"Adonijah Sets Himself Up as King",16,16
1ki,1,9,"Adonijah Sets Himself Up as King",17,21
1ki,1,10,"Adonijah Sets Himself Up as King",22,23
1ki,1,11,"Adonijah Sets Himself Up as King",24,27
1ki,1,12,"David Makes Solomon King(Z)",28,28
1ki,1,13,"David Makes Solomon King(Z)",29,30
1ki,1,14,"David Makes Solomon King(Z)",31,31
1ki,1,15,"David Makes Solomon King(Z)",32,35
1ki,1,16,"David Makes Solomon King(Z)",36,37
1ki,1,17,"David Makes Solomon King(Z)",38,40
1ki,1,18,"David Makes Solomon King(Z)",41,41
1ki,1,19,"David Makes Solomon King(Z)",42,42
1ki,1,20,"David Makes Solomon King(Z)",43,48
1ki,1,21,"David Makes Solomon King(Z)",49,51
1ki,1,22,"David Makes Solomon King(Z)",52,53
1ki,2,1,"David’s Charge to Solomon(A)",1,1
1ki,2,2,"David’s Charge to Solomon(A)",2,4
1ki,2,3,"David’s Charge to Solomon(A)",5,6
1ki,2,4,"David’s Charge to Solomon(A)",7,7
1ki,2,5,"David’s Charge to Solomon(A)",8,9
1ki,2,6,"David’s Charge to Solomon(A)",10,12
1ki,2,7,"Solomon’s Throne Established",13,13
1ki,2,8,"Solomon’s Throne Established",13,14
1ki,2,9,"Solomon’s Throne Established",14,14
1ki,2,10,"Solomon’s Throne Established",15,16
1ki,2,11,"Solomon’s Throne Established",16,16
1ki,2,12,"Solomon’s Throne Established",17,17
1ki,2,13,"Solomon’s Throne Established",18,18
1ki,2,14,"Solomon’s Throne Established",19,19
1ki,2,15,"Solomon’s Throne Established",20,20
1ki,2,16,"Solomon’s Throne Established",20,20
1ki,2,17,"Solomon’s Throne Established",21,21
1ki,2,18,"Solomon’s Throne Established",22,22
1ki,2,19,"Solomon’s Throne Established",23,25
1ki,2,20,"Solomon’s Throne Established",26,27
1ki,2,21,"Solomon’s Throne Established",28,29
1ki,2,22,"Solomon’s Throne Established",30,30
