book,chapter,paragraph,title,startVerseNo,endVerseNo
1pe,1,1,"(无小标题)",1,1
1pe,1,2,"(无小标题)",1,2
1pe,1,3,"(无小标题)",2,2
1pe,1,4,"Praise to God for a Living Hope",3,9
1pe,1,5,"Praise to God for a Living Hope",10,12
1pe,1,6,"Be Holy",13,16
1pe,1,7,"Be Holy",17,21
1pe,1,8,"Be Holy",22,24
1pe,1,9,"Be Holy",24,25
1pe,1,10,"Be Holy",25,25
1pe,2,1,"(无小标题)",1,3
1pe,2,2,"The Living Stone and a Chosen People",4,6
1pe,2,3,"The Living Stone and a Chosen People",6,6
1pe,2,4,"The Living Stone and a Chosen People",7,7
1pe,2,5,"The Living Stone and a Chosen People",7,7
1pe,2,6,"The Living Stone and a Chosen People",8,8
1pe,2,7,"The Living Stone and a Chosen People",8,8
1pe,2,8,"The Living Stone and a Chosen People",8,8
1pe,2,9,"The Living Stone and a Chosen People",9,10
1pe,2,10,"Living Godly Lives in a Pagan Society",11,12
1pe,2,11,"Living Godly Lives in a Pagan Society",13,17
1pe,2,12,"Living Godly Lives in a Pagan Society",18,21
1pe,2,13,"Living Godly Lives in a Pagan Society",22,22
1pe,2,14,"Living Godly Lives in a Pagan Society",23,25
1pe,3,1,"(无小标题)",1,6
1pe,3,2,"(无小标题)",7,7
1pe,3,3,"Suffering for Doing Good",8,10
1pe,3,4,"Suffering for Doing Good",10,12
1pe,3,5,"Suffering for Doing Good",13,22
1pe,4,1,"Living for God",1,6
1pe,4,2,"Living for God",7,11
1pe,4,3,"Suffering for Being a Christian",12,18
1pe,4,4,"Suffering for Being a Christian",18,18
1pe,4,5,"Suffering for Being a Christian",19,19
1pe,5,1,"To the Elders and the Flock",1,4
1pe,5,2,"To the Elders and the Flock",5,5
1pe,5,3,"To the Elders and the Flock",5,5
1pe,5,4,"To the Elders and the Flock",6,7
1pe,5,5,"To the Elders and the Flock",8,9
1pe,5,6,"To the Elders and the Flock",10,11
1pe,5,7,"Final Greetings",12,12
1pe,5,8,"Final Greetings",13,14
1pe,5,9,"Final Greetings",14,14
