book,chapter,paragraph,title,startVerseNo,endVerseNo
1th,1,1,"(无小标题)",1,1
1th,1,2,"(无小标题)",1,1
1th,1,3,"(无小标题)",1,1
1th,1,4,"Thanksgiving for the Thessalonians’ Faith",2,3
1th,1,5,"Thanksgiving for the Thessalonians’ Faith",4,10
1th,2,1,"Paul’s Ministry in Thessalonica",1,7
1th,2,2,"Paul’s Ministry in Thessalonica",7,12
1th,2,3,"Paul’s Ministry in Thessalonica",13,16
1th,2,4,"Paul’s Longing to See the Thessalonians",17,20
1th,3,1,"(无小标题)",1,5
1th,3,2,"Timothy’s Encouraging Report",6,10
1th,3,3,"Timothy’s Encouraging Report",11,13
1th,4,1,"Living to Please God",1,2
1th,4,2,"Living to Please God",3,8
1th,4,3,"Living to Please God",9,12
1th,4,4,"Believers Who Have Died",13,18
1th,5,1,"The Day of the Lord",1,3
1th,5,2,"The Day of the Lord",4,11
1th,5,3,"Final Instructions",12,15
1th,5,4,"Final Instructions",16,18
1th,5,5,"Final Instructions",19,22
1th,5,6,"Final Instructions",23,24
1th,5,7,"Final Instructions",25,27
1th,5,8,"Final Instructions",28,28
