book,chapter,paragraph,title,startVerseNo,endVerseNo
2co,1,1,"(无小标题)",1,1
2co,1,2,"(无小标题)",1,1
2co,1,3,"(无小标题)",2,2
2co,1,4,"Praise to the God of All Comfort",3,7
2co,1,5,"Praise to the God of All Comfort",8,11
2co,1,6,"Paul’s Change of Plans",12,14
2co,1,7,"Paul’s Change of Plans",15,17
2co,1,8,"Paul’s Change of Plans",18,22
2co,1,9,"Paul’s Change of Plans",23,24
2co,2,1,"(无小标题)",1,4
2co,2,2,"Forgiveness for the Offender",5,11
2co,2,3,"Ministers of the New Covenant",12,13
2co,2,4,"Ministers of the New Covenant",14,17
2co,3,1,"(无小标题)",1,3
2co,3,2,"(无小标题)",4,6
2co,3,3,"The Greater Glory of the New Covenant",7,11
2co,3,4,"The Greater Glory of the New Covenant",12,18
2co,4,1,"Present Weakness and Resurrection Life",1,6
2co,4,2,"Present Weakness and Resurrection Life",7,12
2co,4,3,"Present Weakness and Resurrection Life",13,15
2co,4,4,"Present Weakness and Resurrection Life",16,18
2co,5,1,"Awaiting the New Body",1,5
2co,5,2,"Awaiting the New Body",6,10
2co,5,3,"The Ministry of Reconciliation",11,15
2co,5,4,"The Ministry of Reconciliation",16,21
2co,6,1,"(无小标题)",1,2
2co,6,2,"(无小标题)",2,2
2co,6,3,"(无小标题)",2,2
2co,6,4,"Paul’s Hardships",3,10
2co,6,5,"Paul’s Hardships",11,13
2co,6,6,"Warning Against Idolatry",14,16
2co,6,7,"Warning Against Idolatry",16,16
2co,6,8,"Warning Against Idolatry",17,17
2co,6,9,"Warning Against Idolatry",17,17
2co,6,10,"Warning Against Idolatry",18,18
2co,6,11,"Warning Against Idolatry",18,18
2co,7,1,"(无小标题)",1,1
2co,7,2,"Paul’s Joy Over the Church’s Repentance",2,4
2co,7,3,"Paul’s Joy Over the Church’s Repentance",5,7
2co,7,4,"Paul’s Joy Over the Church’s Repentance",8,13
2co,7,5,"Paul’s Joy Over the Church’s Repentance",13,16
2co,8,1,"The Collection for the Lord’s People",1,7
2co,8,2,"The Collection for the Lord’s People",8,9
2co,8,3,"The Collection for the Lord’s People",10,12
2co,8,4,"The Collection for the Lord’s People",13,15
2co,8,5,"Titus Sent to Receive the Collection",16,21
2co,8,6,"Titus Sent to Receive the Collection",22,24
2co,9,1,"(无小标题)",1,5
2co,9,2,"Generosity Encouraged",6,9
2co,9,3,"Generosity Encouraged",9,9
2co,9,4,"Generosity Encouraged",10,11
2co,9,5,"Generosity Encouraged",12,15
2co,10,1,"Paul’s Defense of His Ministry",1,6
2co,10,2,"Paul’s Defense of His Ministry",7,11
2co,10,3,"Paul’s Defense of His Ministry",12,18
2co,11,1,"Paul and the False Apostles",1,4
2co,11,2,"Paul and the False Apostles",5,11
2co,11,3,"Paul and the False Apostles",12,15
2co,11,4,"Paul Boasts About His Sufferings",16,21
2co,11,5,"Paul Boasts About His Sufferings",21,29
2co,11,6,"Paul Boasts About His Sufferings",30,33
2co,12,1,"Paul’s Vision and His Thorn",1,10
2co,12,2,"Paul’s Concern for the Corinthians",11,13
2co,12,3,"Paul’s Concern for the Corinthians",14,18
2co,12,4,"Paul’s Concern for the Corinthians",19,21
2co,13,1,"Final Warnings",1,4
2co,13,2,"Final Warnings",5,10
2co,13,3,"Final Greetings",11,11
2co,13,4,"Final Greetings",12,13
2co,13,5,"Final Greetings",14,14
