book,chapter,paragraph,title,startVerseNo,endVerseNo
2sa,1,1,"David Hears of Saul’s Death(A)",1,2
2sa,1,2,"David Hears of Saul’s Death(A)",3,3
2sa,1,3,"David Hears of Saul’s Death(A)",3,3
2sa,1,4,"David Hears of Saul’s Death(A)",4,4
2sa,1,5,"David Hears of Saul’s Death(A)",4,4
2sa,1,6,"David Hears of Saul’s Death(A)",5,5
2sa,1,7,"David Hears of Saul’s Death(A)",6,7
2sa,1,8,"David Hears of Saul’s Death(A)",8,8
2sa,1,9,"David Hears of Saul’s Death(A)",8,8
2sa,1,10,"David Hears of Saul’s Death(A)",9,9
2sa,1,11,"David Hears of Saul’s Death(A)",10,10
2sa,1,12,"David Hears of Saul’s Death(A)",11,12
2sa,1,13,"David Hears of Saul’s Death(A)",13,13
2sa,1,14,"David Hears of Saul’s Death(A)",13,13
2sa,1,15,"David Hears of Saul’s Death(A)",14,14
2sa,1,16,"David Hears of Saul’s Death(A)",15,16
2sa,1,17,"David’s Lament for Saul and Jonathan",17,18
2sa,1,18,"David’s Lament for Saul and Jonathan",19,19
2sa,1,19,"David’s Lament for Saul and Jonathan",20,20
2sa,1,20,"David’s Lament for Saul and Jonathan",21,21
2sa,1,21,"David’s Lament for Saul and Jonathan",22,23
2sa,1,22,"David’s Lament for Saul and Jonathan",24,24
2sa,1,23,"David’s Lament for Saul and Jonathan",25,26
2sa,1,24,"David’s Lament for Saul and Jonathan",27,27
2sa,2,1,"David Anointed King Over Judah",1,1
2sa,2,2,"David Anointed King Over Judah",1,1
2sa,2,3,"David Anointed King Over Judah",1,1
2sa,2,4,"David Anointed King Over Judah",1,1
2sa,2,5,"David Anointed King Over Judah",2,4
2sa,2,6,"David Anointed King Over Judah",4,7
2sa,2,7,"War Between the Houses of David and Saul(M)",8,9
2sa,2,8,"War Between the Houses of David and Saul(M)",10,11
2sa,2,9,"War Between the Houses of David and Saul(M)",12,13
2sa,2,10,"War Between the Houses of David and Saul(M)",14,14
2sa,2,11,"War Between the Houses of David and Saul(M)",14,14
2sa,2,12,"War Between the Houses of David and Saul(M)",15,16
2sa,2,13,"War Between the Houses of David and Saul(M)",17,17
2sa,2,14,"War Between the Houses of David and Saul(M)",18,20
2sa,2,15,"War Between the Houses of David and Saul(M)",20,20
2sa,2,16,"War Between the Houses of David and Saul(M)",21,21
2sa,2,17,"War Between the Houses of David and Saul(M)",22,22
2sa,2,18,"War Between the Houses of David and Saul(M)",23,23
2sa,2,19,"War Between the Houses of David and Saul(M)",24,25
2sa,2,20,"War Between the Houses of David and Saul(M)",26,26
2sa,2,21,"War Between the Houses of David and Saul(M)",27,27
2sa,2,22,"War Between the Houses of David and Saul(M)",28,28
2sa,2,23,"War Between the Houses of David and Saul(M)",29,29
2sa,2,24,"War Between the Houses of David and Saul(M)",30,32
2sa,3,1,"(无小标题)",1,1
2sa,3,2,"Abner Goes Over to David",6,7
2sa,3,3,"Abner Goes Over to David",8,11
2sa,3,4,"Abner Goes Over to David",12,12
2sa,3,5,"Abner Goes Over to David",13,14
2sa,3,6,"Abner Goes Over to David",15,16
2sa,3,7,"Abner Goes Over to David",17,18
2sa,3,8,"Abner Goes Over to David",19,21
2sa,3,9,"Joab Murders Abner",22,23
2sa,3,10,"Joab Murders Abner",24,25
2sa,3,11,"Joab Murders Abner",26,27
2sa,3,12,"Joab Murders Abner",28,29
2sa,3,13,"Joab Murders Abner",30,30
2sa,3,14,"Joab Murders Abner",31,32
2sa,3,15,"Joab Murders Abner",33,33
2sa,3,16,"Joab Murders Abner",33,34
2sa,3,17,"Joab Murders Abner",34,34
2sa,3,18,"Joab Murders Abner",35,35
2sa,3,19,"Joab Murders Abner",36,37
2sa,3,20,"Joab Murders Abner",38,39
2sa,4,1,"Ish-Bosheth Murdered",1,3
2sa,4,2,"Ish-Bosheth Murdered",4,4
2sa,4,3,"Ish-Bosheth Murdered",5,6
2sa,4,4,"Ish-Bosheth Murdered",7,8
2sa,4,5,"Ish-Bosheth Murdered",9,11
2sa,4,6,"Ish-Bosheth Murdered",12,12
2sa,5,1,"David Becomes King Over Israel(A)",1,2
2sa,5,2,"David Becomes King Over Israel(A)",3,3
2sa,5,3,"David Becomes King Over Israel(A)",4,5
2sa,5,4,"David Conquers Jerusalem(N)(O)",6,7
2sa,5,5,"David Conquers Jerusalem(N)(O)",8,8
2sa,5,6,"David Conquers Jerusalem(N)(O)",9,10
2sa,5,7,"David Conquers Jerusalem(N)(O)",11,12
2sa,5,8,"David Conquers Jerusalem(N)(O)",13,16
2sa,5,9,"David Defeats the Philistines(AE)",17,19
2sa,5,10,"David Defeats the Philistines(AE)",19,19
2sa,5,11,"David Defeats the Philistines(AE)",20,21
2sa,5,12,"David Defeats the Philistines(AE)",22,25
2sa,6,1,"The Ark Brought to Jerusalem(A)(B)",1,5
2sa,6,2,"The Ark Brought to Jerusalem(A)(B)",6,7
2sa,6,3,"The Ark Brought to Jerusalem(A)(B)",8,8
2sa,6,4,"The Ark Brought to Jerusalem(A)(B)",9,11
2sa,6,5,"The Ark Brought to Jerusalem(A)(B)",12,15
2sa,6,6,"The Ark Brought to Jerusalem(A)(B)",16,16
2sa,6,7,"The Ark Brought to Jerusalem(A)(B)",17,19
2sa,6,8,"The Ark Brought to Jerusalem(A)(B)",20,20
2sa,6,9,"The Ark Brought to Jerusalem(A)(B)",21,22
2sa,6,10,"The Ark Brought to Jerusalem(A)(B)",23,23
2sa,7,1,"God’s Promise to David(A)",1,2
2sa,7,2,"God’s Promise to David(A)",3,3
2sa,7,3,"God’s Promise to David(A)",4,4
2sa,7,4,"God’s Promise to David(A)",17,17
2sa,7,5,"David’s Prayer(AU)",18,18
2sa,8,1,"David’s Victories(A)",1,1
2sa,8,2,"David’s Victories(A)",2,2
2sa,8,3,"David’s Victories(A)",3,4
2sa,8,4,"David’s Victories(A)",5,6
2sa,8,5,"David’s Victories(A)",7,8
2sa,8,6,"David’s Victories(A)",9,10
2sa,8,7,"David’s Victories(A)",11,12
2sa,8,8,"David’s Victories(A)",13,13
2sa,8,9,"David’s Victories(A)",14,14
2sa,8,10,"David’s Officials(AD)",15,18
2sa,9,1,"David and Mephibosheth",1,1
2sa,9,2,"David and Mephibosheth",2,2
2sa,9,3,"David and Mephibosheth",2,2
2sa,9,4,"David and Mephibosheth",3,3
2sa,9,5,"David and Mephibosheth",3,3
2sa,9,6,"David and Mephibosheth",4,4
2sa,9,7,"David and Mephibosheth",4,4
2sa,9,8,"David and Mephibosheth",5,5
2sa,9,9,"David and Mephibosheth",6,6
2sa,9,10,"David and Mephibosheth",6,6
2sa,9,11,"David and Mephibosheth",6,6
2sa,9,12,"David and Mephibosheth",7,7
2sa,9,13,"David and Mephibosheth",8,8
2sa,9,14,"David and Mephibosheth",9,10
2sa,9,15,"David and Mephibosheth",11,11
2sa,9,16,"David and Mephibosheth",12,13
2sa,10,1,"David Defeats the Ammonites(A)",1,2
2sa,10,2,"David Defeats the Ammonites(A)",2,4
2sa,10,3,"David Defeats the Ammonites(A)",5,5
2sa,10,4,"David Defeats the Ammonites(A)",6,6
2sa,10,5,"David Defeats the Ammonites(A)",7,8
2sa,10,6,"David Defeats the Ammonites(A)",9,12
2sa,10,7,"David Defeats the Ammonites(A)",13,14
2sa,10,8,"David Defeats the Ammonites(A)",15,16
2sa,10,9,"David Defeats the Ammonites(A)",17,19
2sa,10,10,"David Defeats the Ammonites(A)",19,19
2sa,11,1,"David and Bathsheba",1,1
2sa,11,2,"David and Bathsheba",2,5
2sa,11,3,"David and Bathsheba",6,9
2sa,11,4,"David and Bathsheba",10,10
2sa,11,5,"David and Bathsheba",11,11
2sa,11,6,"David and Bathsheba",12,13
2sa,11,7,"David and Bathsheba",14,15
2sa,11,8,"David and Bathsheba",16,17
2sa,11,9,"David and Bathsheba",18,21
2sa,11,10,"David and Bathsheba",22,24
2sa,11,11,"David and Bathsheba",25,25
2sa,11,12,"David and Bathsheba",26,27
2sa,12,1,"Nathan Rebukes David(A)",1,3
2sa,12,2,"Nathan Rebukes David(A)",4,4
2sa,12,3,"Nathan Rebukes David(A)",5,6
2sa,12,4,"Nathan Rebukes David(A)",7,10
2sa,12,5,"Nathan Rebukes David(A)",11,12
2sa,12,6,"Nathan Rebukes David(A)",13,13
2sa,12,7,"Nathan Rebukes David(A)",13,14
2sa,12,8,"Nathan Rebukes David(A)",15,17
2sa,12,9,"Nathan Rebukes David(A)",18,18
2sa,12,10,"Nathan Rebukes David(A)",19,19
2sa,12,11,"Nathan Rebukes David(A)",19,19
2sa,12,12,"Nathan Rebukes David(A)",20,20
