book,chapter,paragraph,title,startVerseNo,endVerseNo
2ti,1,1,"(无小标题)",1,1
2ti,1,2,"(无小标题)",2,2
2ti,1,3,"(无小标题)",2,2
2ti,1,4,"Thanksgiving",3,5
2ti,1,5,"Appeal for Loyalty to Paul and the Gospel",6,12
2ti,1,6,"Appeal for Loyalty to Paul and the Gospel",13,14
2ti,1,7,"Examples of Disloyalty and Loyalty",15,15
2ti,1,8,"Examples of Disloyalty and Loyalty",16,18
2ti,2,1,"The Appeal Renewed",1,7
2ti,2,2,"The Appeal Renewed",8,10
2ti,2,3,"The Appeal Renewed",11,11
2ti,2,4,"The Appeal Renewed",11,13
2ti,2,5,"Dealing With False Teachers",14,19
2ti,2,6,"Dealing With False Teachers",20,21
2ti,2,7,"Dealing With False Teachers",22,26
2ti,3,1,"(无小标题)",1,5
2ti,3,2,"(无小标题)",6,9
2ti,3,3,"A Final Charge to Timothy",10,17
2ti,4,1,"(无小标题)",1,5
2ti,4,2,"(无小标题)",6,8
2ti,4,3,"Personal Remarks",9,13
2ti,4,4,"Personal Remarks",14,15
2ti,4,5,"Personal Remarks",16,18
2ti,4,6,"Final Greetings",19,21
2ti,4,7,"Final Greetings",22,22
