book,chapter,paragraph,title,startVerseNo,endVerseNo
gen,1,1,"The Beginning",1,2
gen,1,2,"The Beginning",3,26
gen,1,3,"The Beginning",27,27
gen,1,4,"The Beginning",28,31
gen,2,1,"(无小标题)",1,1
gen,2,2,"(无小标题)",2,3
gen,2,3,"Adam and Eve",4,4
gen,2,4,"Adam and Eve",5,7
gen,2,5,"Adam and Eve",8,9
gen,2,6,"Adam and Eve",10,14
gen,2,7,"Adam and Eve",15,17
gen,2,8,"Adam and Eve",18,18
gen,2,9,"Adam and Eve",19,20
gen,2,10,"Adam and Eve",20,22
gen,2,11,"Adam and Eve",23,23
gen,2,12,"Adam and Eve",23,23
gen,2,13,"Adam and Eve",24,24
gen,2,14,"Adam and Eve",25,25
gen,3,1,"The Fall",1,1
gen,3,2,"The Fall",2,3
gen,3,3,"The Fall",4,5
gen,3,4,"The Fall",6,7
gen,3,5,"The Fall",8,9
gen,3,6,"The Fall",10,10
gen,3,7,"The Fall",11,11
gen,3,8,"The Fall",12,12
gen,3,9,"The Fall",13,13
gen,3,10,"The Fall",13,13
gen,3,11,"The Fall",14,14
gen,3,12,"The Fall",14,15
gen,3,13,"The Fall",16,16
gen,3,14,"The Fall",16,16
gen,3,15,"The Fall",17,17
gen,3,16,"The Fall",17,19
gen,3,17,"The Fall",20,20
gen,3,18,"The Fall",21,24
gen,4,1,"Cain and Abel",1,2
gen,4,2,"Cain and Abel",2,5
gen,4,3,"Cain and Abel",6,7
gen,4,4,"Cain and Abel",8,8
gen,4,5,"Cain and Abel",9,9
gen,4,6,"Cain and Abel",9,9
gen,4,7,"Cain and Abel",10,12
gen,4,8,"Cain and Abel",13,14
gen,4,9,"Cain and Abel",15,16
gen,4,10,"Cain and Abel",17,18
gen,4,11,"Cain and Abel",19,22
gen,4,12,"Cain and Abel",23,23
gen,4,13,"Cain and Abel",23,24
gen,4,14,"Cain and Abel",25,26
gen,4,15,"Cain and Abel",26,26
gen,5,1,"From Adam to Noah",1,1
gen,5,2,"From Adam to Noah",1,2
gen,5,3,"From Adam to Noah",3,5
gen,5,4,"From Adam to Noah",6,8
gen,5,5,"From Adam to Noah",9,11
gen,5,6,"From Adam to Noah",12,14
gen,5,7,"From Adam to Noah",15,17
gen,5,8,"From Adam to Noah",18,20
gen,5,9,"From Adam to Noah",21,24
gen,5,10,"From Adam to Noah",25,27
gen,5,11,"From Adam to Noah",28,31
gen,5,12,"From Adam to Noah",32,32
gen,6,1,"Wickedness in the World",1,3
gen,6,2,"Wickedness in the World",4,4
gen,6,3,"Wickedness in the World",5,8
gen,6,4,"Noah and the Flood",9,9
gen,6,5,"Noah and the Flood",9,10
gen,6,6,"Noah and the Flood",11,21
gen,6,7,"Noah and the Flood",22,22
gen,7,1,"(无小标题)",1,4
gen,7,2,"(无小标题)",5,5
gen,7,3,"(无小标题)",6,10
gen,7,4,"(无小标题)",11,12
gen,7,5,"(无小标题)",13,16
gen,7,6,"(无小标题)",17,23
gen,7,7,"(无小标题)",24,24
gen,8,1,"(无小标题)",1,5
gen,8,2,"(无小标题)",6,12
gen,8,3,"(无小标题)",13,14
gen,8,4,"(无小标题)",15,17
gen,8,5,"(无小标题)",18,19
gen,8,6,"(无小标题)",20,21
gen,8,7,"(无小标题)",22,22
gen,9,1,"God’s Covenant With Noah",1,3
gen,9,2,"God’s Covenant With Noah",4,5
gen,9,3,"God’s Covenant With Noah",6,6
gen,9,4,"God’s Covenant With Noah",7,7
gen,9,5,"God’s Covenant With Noah",8,11
gen,9,6,"God’s Covenant With Noah",12,16
gen,9,7,"God’s Covenant With Noah",17,17
gen,9,8,"The Sons of Noah",18,19
gen,9,9,"The Sons of Noah",20,23
gen,9,10,"The Sons of Noah",24,25
gen,9,11,"The Sons of Noah",25,25
gen,9,12,"The Sons of Noah",26,26
gen,9,13,"The Sons of Noah",26,27
gen,9,14,"The Sons of Noah",28,29
gen,10,1,"The Table of Nations",1,1
gen,10,2,"The Table of Nations",2,5
