book,chapter,paragraph,title,startVerseNo,endVerseNo
num,1,1,"The Census",1,5
num,1,2,"The Census",16,16
num,1,3,"The Census",17,19
num,1,4,"The Census",44,46
num,1,5,"The Census",47,53
num,1,6,"The Census",54,54
num,2,1,"The Arrangement of the Tribal Camps",1,2
num,2,2,"The Arrangement of the Tribal Camps",34,34
num,3,1,"The Levites",1,1
num,3,2,"The Levites",2,4
num,3,3,"The Levites",5,10
num,3,4,"The Levites",11,13
num,3,5,"The Levites",14,16
num,3,6,"The Levites",20,20
num,3,7,"The Levites",21,26
num,3,8,"The Levites",27,32
num,3,9,"The Levites",33,37
num,3,10,"The Levites",38,38
num,3,11,"The Levites",39,39
num,3,12,"The Levites",40,41
num,3,13,"The Levites",42,43
num,3,14,"The Levites",44,48
num,3,15,"The Levites",49,51
num,4,1,"The Kohathites",1,3
num,4,2,"The Kohathites",4,6
num,4,3,"The Kohathites",7,8
num,4,4,"The Kohathites",9,10
num,4,5,"The Kohathites",11,11
num,4,6,"The Kohathites",12,12
num,4,7,"The Kohathites",13,14
num,4,8,"The Kohathites",15,15
num,4,9,"The Kohathites",16,16
num,4,10,"The Kohathites",17,20
num,4,11,"The Gershonites",21,23
num,4,12,"The Gershonites",24,28
num,4,13,"The Merarites",29,33
num,4,14,"The Numbering of the Levite Clans",34,37
num,4,15,"The Numbering of the Levite Clans",38,41
num,4,16,"The Numbering of the Levite Clans",42,45
num,4,17,"The Numbering of the Levite Clans",46,49
num,4,18,"The Numbering of the Levite Clans",49,49
num,5,1,"The Purity of the Camp",1,4
num,5,2,"Restitution for Wrongs",5,10
num,5,3,"The Test for an Unfaithful Wife",11,15
num,5,4,"The Test for an Unfaithful Wife",16,22
num,5,5,"The Test for an Unfaithful Wife",22,22
num,5,6,"The Test for an Unfaithful Wife",23,28
num,5,7,"The Test for an Unfaithful Wife",29,31
num,6,1,"The Nazirite",1,4
num,6,2,"The Nazirite",5,5
num,6,3,"The Nazirite",6,8
num,6,4,"The Nazirite",9,12
num,6,5,"The Nazirite",13,15
