book,chapter,paragraph,title,startVerseNo,endVerseNo
col,1,1,"(无小标题)",1,1
col,1,2,"(无小标题)",2,2
col,1,3,"(无小标题)",2,2
col,1,4,"Thanksgiving and Prayer",3,8
col,1,5,"Thanksgiving and Prayer",9,14
col,1,6,"The Supremacy of the Son of God",15,20
col,1,7,"The Supremacy of the Son of God",21,23
col,1,8,"Paul’s Labor for the Church",24,27
col,1,9,"Paul’s Labor for the Church",28,29
col,2,1,"(无小标题)",1,5
col,2,2,"Spiritual Fullness in Christ",6,7
col,2,3,"Spiritual Fullness in Christ",8,8
col,2,4,"Spiritual Fullness in Christ",9,12
col,2,5,"Spiritual Fullness in Christ",13,15
col,2,6,"Freedom From Human Rules",16,19
col,2,7,"Freedom From Human Rules",20,23
col,3,1,"Living as Those Made Alive in Christ",1,4
col,3,2,"Living as Those Made Alive in Christ",5,11
col,3,3,"Living as Those Made Alive in Christ",12,14
col,3,4,"Living as Those Made Alive in Christ",15,17
col,3,5,"Instructions for Christian Households(AQ)",18,18
col,3,6,"Instructions for Christian Households(AQ)",19,19
col,3,7,"Instructions for Christian Households(AQ)",20,20
col,3,8,"Instructions for Christian Households(AQ)",21,21
col,3,9,"Instructions for Christian Households(AQ)",22,25
col,4,1,"(无小标题)",1,1
col,4,2,"Further Instructions",2,6
col,4,3,"Final Greetings",7,9
col,4,4,"Final Greetings",10,15
col,4,5,"Final Greetings",16,16
col,4,6,"Final Greetings",17,17
col,4,7,"Final Greetings",18,18
