book,chapter,paragraph,title,startVerseNo,endVerseNo
deu,1,1,"The Command to Leave Horeb",1,2
deu,1,2,"The Command to Leave Horeb",3,4
deu,1,3,"The Command to Leave Horeb",5,5
deu,1,4,"The Command to Leave Horeb",6,8
deu,1,5,"The Appointment of Leaders",9,13
deu,1,6,"The Appointment of Leaders",14,14
deu,1,7,"The Appointment of Leaders",15,18
deu,1,8,"Spies Sent Out",19,21
deu,1,9,"Spies Sent Out",22,22
deu,1,10,"Spies Sent Out",23,25
deu,1,11,"Rebellion Against the Lord",26,28
deu,1,12,"Rebellion Against the Lord",29,31
deu,1,13,"Rebellion Against the Lord",32,33
deu,1,14,"Rebellion Against the Lord",34,36
deu,1,15,"Rebellion Against the Lord",37,40
deu,1,16,"Rebellion Against the Lord",41,41
deu,1,17,"Rebellion Against the Lord",42,42
deu,1,18,"Rebellion Against the Lord",43,46
deu,2,1,"Wanderings in the Wilderness",1,1
deu,2,2,"Wanderings in the Wilderness",2,6
deu,2,3,"Wanderings in the Wilderness",7,7
deu,2,4,"Wanderings in the Wilderness",8,8
deu,2,5,"Wanderings in the Wilderness",9,9
deu,2,6,"Wanderings in the Wilderness",10,12
deu,2,7,"Wanderings in the Wilderness",13,13
deu,2,8,"Wanderings in the Wilderness",14,15
deu,2,9,"Wanderings in the Wilderness",16,19
deu,2,10,"Wanderings in the Wilderness",20,23
deu,2,11,"Defeat of Sihon King of Heshbon",24,25
deu,2,12,"Defeat of Sihon King of Heshbon",26,30
deu,2,13,"Defeat of Sihon King of Heshbon",31,31
deu,2,14,"Defeat of Sihon King of Heshbon",32,37
deu,3,1,"Defeat of Og King of Bashan",1,2
deu,3,2,"Defeat of Og King of Bashan",3,7
deu,3,3,"Defeat of Og King of Bashan",8,11
deu,3,4,"Division of the Land",12,17
deu,3,5,"Division of the Land",18,20
deu,3,6,"Moses Forbidden to Cross the Jordan",21,22
deu,3,7,"Moses Forbidden to Cross the Jordan",23,25
deu,3,8,"Moses Forbidden to Cross the Jordan",26,29
deu,4,1,"Obedience Commanded",1,2
deu,4,2,"Obedience Commanded",3,4
deu,4,3,"Obedience Commanded",5,8
deu,4,4,"Obedience Commanded",9,14
deu,4,5,"Idolatry Forbidden",15,20
deu,4,6,"Idolatry Forbidden",21,24
deu,4,7,"Idolatry Forbidden",25,31
deu,4,8,"The Lord Is God",32,34
deu,4,9,"The Lord Is God",35,38
deu,4,10,"The Lord Is God",39,40
deu,4,11,"Cities of Refuge(CW)",41,43
deu,4,12,"Introduction to the Law",44,49
deu,5,1,"The Ten Commandments(A)",1,1
deu,5,2,"The Ten Commandments(A)",1,5
deu,5,3,"The Ten Commandments(A)",22,22
deu,5,4,"The Ten Commandments(A)",23,27
deu,5,5,"The Ten Commandments(A)",28,29
deu,5,6,"The Ten Commandments(A)",30,31
deu,5,7,"The Ten Commandments(A)",32,33
deu,6,1,"Love the Lord Your God",1,3
deu,6,2,"Love the Lord Your God",4,9
deu,6,3,"Love the Lord Your God",10,12
deu,6,4,"Love the Lord Your God",13,19
deu,6,5,"Love the Lord Your God",20,25
deu,7,1,"Driving Out the Nations",1,6
deu,7,2,"Driving Out the Nations",7,10
deu,7,3,"Driving Out the Nations",10,10
deu,7,4,"Driving Out the Nations",11,11
deu,7,5,"Driving Out the Nations",12,16
deu,7,6,"Driving Out the Nations",17,26
deu,8,1,"Do Not Forget the Lord",1,5
deu,8,2,"Do Not Forget the Lord",6,9
deu,8,3,"Do Not Forget the Lord",10,18
deu,8,4,"Do Not Forget the Lord",19,20
deu,9,1,"Not Because of Israel’s Righteousness",1,3
deu,9,2,"Not Because of Israel’s Righteousness",4,6
deu,9,3,"The Golden Calf",7,10
deu,9,4,"The Golden Calf",11,12
deu,9,5,"The Golden Calf",13,14
deu,9,6,"The Golden Calf",15,17
deu,9,7,"The Golden Calf",18,21
deu,9,8,"The Golden Calf",22,22
deu,9,9,"The Golden Calf",23,24
deu,9,10,"The Golden Calf",25,29
deu,10,1,"Tablets Like the First Ones",1,2
deu,10,2,"Tablets Like the First Ones",3,5
deu,10,3,"Tablets Like the First Ones",6,9
deu,10,4,"Tablets Like the First Ones",10,11
deu,10,5,"Fear the Lord",12,13
deu,10,6,"Fear the Lord",14,22
deu,11,1,"Love and Obey the Lord",1,7
deu,11,2,"Love and Obey the Lord",8,12
deu,11,3,"Love and Obey the Lord",13,15
deu,11,4,"Love and Obey the Lord",16,21
deu,11,5,"Love and Obey the Lord",22,25
deu,11,6,"Love and Obey the Lord",26,32
deu,12,1,"The One Place of Worship",1,3
deu,12,2,"The One Place of Worship",4,7
deu,12,3,"The One Place of Worship",8,14
deu,12,4,"The One Place of Worship",15,19
deu,12,5,"The One Place of Worship",20,25
deu,12,6,"The One Place of Worship",26,28
deu,12,7,"The One Place of Worship",29,31
deu,12,8,"The One Place of Worship",32,32
deu,13,1,"Worshiping Other Gods",1,5
deu,13,2,"Worshiping Other Gods",6,11
deu,13,3,"Worshiping Other Gods",12,18
deu,14,1,"Clean and Unclean Food(A)",1,2
deu,14,2,"Clean and Unclean Food(A)",3,8
deu,14,3,"Clean and Unclean Food(A)",9,10
deu,14,4,"Clean and Unclean Food(A)",11,18
deu,14,5,"Clean and Unclean Food(A)",19,20
deu,14,6,"Clean and Unclean Food(A)",21,21
deu,14,7,"Clean and Unclean Food(A)",21,21
deu,14,8,"Tithes",22,27
deu,14,9,"Tithes",28,29
deu,15,1,"The Year for Canceling Debts(A)",1,6
deu,15,2,"The Year for Canceling Debts(A)",7,11
deu,15,3,"Freeing Servants(Q)(R)",12,15
deu,15,4,"Freeing Servants(Q)(R)",16,17
deu,15,5,"Freeing Servants(Q)(R)",18,18
deu,15,6,"The Firstborn Animals",19,23
deu,16,1,"The Passover(A)",1,4
deu,16,2,"The Passover(A)",5,8
deu,16,3,"The Festival of Weeks(N)",9,12
deu,16,4,"The Festival of Tabernacles(W)",13,15
deu,16,5,"The Festival of Tabernacles(W)",16,17
deu,16,6,"Judges",18,20
deu,16,7,"Worshiping Other Gods",21,22
deu,17,1,"(无小标题)",1,1
deu,17,2,"(无小标题)",2,7
deu,17,3,"Law Courts",8,13
deu,17,4,"The King",14,17
deu,17,5,"The King",18,20
deu,18,1,"Offerings for Priests and Levites",1,2
deu,18,2,"Offerings for Priests and Levites",3,5
deu,18,3,"Offerings for Priests and Levites",6,8
deu,18,4,"Occult Practices",9,13
deu,18,5,"The Prophet",14,16
deu,18,6,"The Prophet",17,20
deu,18,7,"The Prophet",21,22
deu,19,1,"Cities of Refuge(A)",1,3
deu,19,2,"Cities of Refuge(A)",4,7
deu,19,3,"Cities of Refuge(A)",8,10
deu,19,4,"Cities of Refuge(A)",11,13
deu,19,5,"Cities of Refuge(A)",14,14
deu,19,6,"Witnesses",15,15
deu,19,7,"Witnesses",16,21
deu,20,1,"Going to War",1,4
deu,20,2,"Going to War",5,9
deu,20,3,"Going to War",10,15
deu,20,4,"Going to War",16,18
deu,20,5,"Going to War",19,20
deu,21,1,"Atonement for an Unsolved Murder",1,9
deu,21,2,"Marrying a Captive Woman",10,14
deu,21,3,"The Right of the Firstborn",15,17
deu,21,4,"A Rebellious Son",18,21
deu,21,5,"Various Laws",22,23
deu,22,1,"(无小标题)",1,3
deu,22,2,"(无小标题)",4,4
deu,22,3,"(无小标题)",5,5
deu,22,4,"(无小标题)",6,7
deu,22,5,"(无小标题)",8,8
deu,22,6,"(无小标题)",9,9
deu,22,7,"(无小标题)",10,10
deu,22,8,"(无小标题)",11,11
deu,22,9,"(无小标题)",12,12
deu,22,10,"Marriage Violations",13,19
deu,22,11,"Marriage Violations",20,21
deu,22,12,"Marriage Violations",22,22
deu,22,13,"Marriage Violations",23,24
deu,22,14,"Marriage Violations",25,27
deu,22,15,"Marriage Violations",28,29
deu,22,16,"Marriage Violations",30,30
deu,23,1,"Exclusion From the Assembly",1,1
deu,23,2,"Exclusion From the Assembly",2,2
deu,23,3,"Exclusion From the Assembly",3,6
deu,23,4,"Exclusion From the Assembly",7,8
deu,23,5,"Uncleanness in the Camp",9,11
deu,23,6,"Uncleanness in the Camp",12,14
deu,23,7,"Miscellaneous Laws",15,16
deu,23,8,"Miscellaneous Laws",17,18
deu,23,9,"Miscellaneous Laws",19,20
deu,23,10,"Miscellaneous Laws",21,23
deu,23,11,"Miscellaneous Laws",24,25
deu,24,1,"(无小标题)",1,4
deu,24,2,"(无小标题)",5,5
deu,24,3,"(无小标题)",6,6
deu,24,4,"(无小标题)",7,7
deu,24,5,"(无小标题)",8,9
deu,24,6,"(无小标题)",10,13
deu,24,7,"(无小标题)",14,15
deu,24,8,"(无小标题)",16,16
deu,24,9,"(无小标题)",17,18
deu,24,10,"(无小标题)",19,22
deu,25,1,"(无小标题)",1,3
deu,25,2,"(无小标题)",4,4
deu,25,3,"(无小标题)",5,6
deu,25,4,"(无小标题)",7,10
deu,25,5,"(无小标题)",11,12
deu,25,6,"(无小标题)",13,16
deu,25,7,"(无小标题)",17,19
deu,26,1,"Firstfruits and Tithes",1,11
deu,26,2,"Firstfruits and Tithes",12,15
deu,26,3,"Follow the Lord’s Commands",16,19
deu,27,1,"The Altar on Mount Ebal",1,8
deu,27,2,"Curses From Mount Ebal",9,10
deu,27,3,"Curses From Mount Ebal",11,11
deu,27,4,"Curses From Mount Ebal",12,13
deu,27,5,"Curses From Mount Ebal",14,14
deu,28,1,"Blessings for Obedience",1,2
deu,28,2,"Blessings for Obedience",7,7
deu,28,3,"Blessings for Obedience",8,8
deu,28,4,"Blessings for Obedience",9,11
deu,28,5,"Blessings for Obedience",12,14
deu,28,6,"Curses for Disobedience",15,15
deu,28,7,"Curses for Disobedience",20,24
deu,28,8,"Curses for Disobedience",25,29
deu,28,9,"Curses for Disobedience",30,35
deu,28,10,"Curses for Disobedience",36,37
deu,28,11,"Curses for Disobedience",38,42
deu,28,12,"Curses for Disobedience",43,44
deu,28,13,"Curses for Disobedience",45,48
deu,28,14,"Curses for Disobedience",49,52
deu,28,15,"Curses for Disobedience",53,57
deu,28,16,"Curses for Disobedience",58,63
deu,28,17,"Curses for Disobedience",64,68
deu,29,1,"Renewal of the Covenant",1,1
deu,29,2,"Renewal of the Covenant",2,2
deu,29,3,"Renewal of the Covenant",2,6
deu,29,4,"Renewal of the Covenant",7,8
deu,29,5,"Renewal of the Covenant",9,15
deu,29,6,"Renewal of the Covenant",16,18
deu,29,7,"Renewal of the Covenant",19,21
deu,29,8,"Renewal of the Covenant",22,24
deu,29,9,"Renewal of the Covenant",25,28
deu,29,10,"Renewal of the Covenant",29,29
deu,30,1,"Prosperity After Turning to the Lord",1,10
deu,30,2,"The Offer of Life or Death",11,14
deu,30,3,"The Offer of Life or Death",15,16
deu,30,4,"The Offer of Life or Death",17,18
deu,30,5,"The Offer of Life or Death",19,20
deu,31,1,"Joshua to Succeed Moses",1,6
deu,31,2,"Joshua to Succeed Moses",7,8
deu,31,3,"Public Reading of the Law",9,13
deu,31,4,"Israel’s Rebellion Predicted",14,14
deu,31,5,"Israel’s Rebellion Predicted",15,18
deu,31,6,"Israel’s Rebellion Predicted",19,22
deu,31,7,"Israel’s Rebellion Predicted",23,23
deu,31,8,"Israel’s Rebellion Predicted",24,29
deu,31,9,"The Song of Moses",30,30
deu,32,1,"(无小标题)",1,2
deu,32,2,"(无小标题)",3,4
deu,32,3,"(无小标题)",5,6
deu,32,4,"(无小标题)",7,9
deu,32,5,"(无小标题)",10,12
deu,32,6,"(无小标题)",13,14
deu,32,7,"(无小标题)",15,18
deu,32,8,"(无小标题)",19,22
deu,32,9,"(无小标题)",23,27
deu,32,10,"(无小标题)",28,33
deu,32,11,"(无小标题)",34,35
deu,32,12,"(无小标题)",36,38
deu,32,13,"(无小标题)",39,42
deu,32,14,"(无小标题)",43,43
deu,32,15,"(无小标题)",44,47
deu,32,16,"Moses to Die on Mount Nebo",48,52
deu,33,1,"Moses Blesses the Tribes(A)",1,2
deu,33,2,"Moses Blesses the Tribes(A)",2,5
deu,33,3,"Moses Blesses the Tribes(A)",6,6
deu,33,4,"Moses Blesses the Tribes(A)",7,7
deu,33,5,"Moses Blesses the Tribes(A)",7,7
deu,33,6,"Moses Blesses the Tribes(A)",8,8
deu,33,7,"Moses Blesses the Tribes(A)",8,11
deu,33,8,"Moses Blesses the Tribes(A)",12,12
