book,chapter,paragraph,title,startVerseNo,endVerseNo
eph,1,1,"(无小标题)",1,1
eph,1,2,"(无小标题)",1,1
eph,1,3,"(无小标题)",2,2
eph,1,4,"Praise for Spiritual Blessings in Christ",3,10
eph,1,5,"Praise for Spiritual Blessings in Christ",11,14
eph,1,6,"Thanksgiving and Prayer",15,23
eph,2,1,"Made Alive in Christ",1,10
eph,2,2,"Jew and Gentile Reconciled Through Christ",11,13
eph,2,3,"Jew and Gentile Reconciled Through Christ",14,18
eph,2,4,"Jew and Gentile Reconciled Through Christ",19,22
eph,3,1,"God’s Marvelous Plan for the Gentiles",1,1
eph,3,2,"God’s Marvelous Plan for the Gentiles",2,6
eph,3,3,"God’s Marvelous Plan for the Gentiles",7,13
eph,3,4,"A Prayer for the Ephesians",14,19
eph,3,5,"A Prayer for the Ephesians",20,21
eph,4,1,"Unity and Maturity in the Body of Christ",1,6
eph,4,2,"Unity and Maturity in the Body of Christ",7,8
eph,4,3,"Unity and Maturity in the Body of Christ",8,8
eph,4,4,"Unity and Maturity in the Body of Christ",9,13
eph,4,5,"Unity and Maturity in the Body of Christ",14,16
eph,4,6,"Instructions for Christian Living",17,19
eph,4,7,"Instructions for Christian Living",20,24
eph,4,8,"Instructions for Christian Living",25,28
eph,4,9,"Instructions for Christian Living",29,32
eph,5,1,"(无小标题)",1,2
eph,5,2,"(无小标题)",3,7
eph,5,3,"(无小标题)",8,14
eph,5,4,"(无小标题)",14,14
eph,5,5,"(无小标题)",15,20
eph,5,6,"Instructions for Christian Households(AH)",21,21
eph,5,7,"Instructions for Christian Households(AH)",22,24
eph,5,8,"Instructions for Christian Households(AH)",25,33
eph,6,1,"(无小标题)",1,3
eph,6,2,"(无小标题)",4,4
eph,6,3,"(无小标题)",5,8
eph,6,4,"(无小标题)",9,9
eph,6,5,"The Armor of God",10,17
eph,6,6,"The Armor of God",18,20
eph,6,7,"Final Greetings",21,22
eph,6,8,"Final Greetings",23,24
