book,chapter,paragraph,title,startVerseNo,endVerseNo
ezr,1,1,"Cyrus Helps the Exiles to Return(A)",1,1
ezr,1,2,"Cyrus Helps the Exiles to Return(A)",5,6
ezr,1,3,"Cyrus Helps the Exiles to Return(A)",7,8
ezr,1,4,"Cyrus Helps the Exiles to Return(A)",9,9
ezr,1,5,"Cyrus Helps the Exiles to Return(A)",11,11
ezr,2,1,"The List of the Exiles Who Returned(A)",1,2
ezr,2,2,"The List of the Exiles Who Returned(A)",68,69
ezr,2,3,"The List of the Exiles Who Returned(A)",70,70
ezr,3,1,"Rebuilding the Altar",1,6
ezr,3,2,"Rebuilding the Temple",7,7
ezr,3,3,"Rebuilding the Temple",8,9
ezr,3,4,"Rebuilding the Temple",10,11
ezr,3,5,"Rebuilding the Temple",11,11
ezr,3,6,"Rebuilding the Temple",11,13
ezr,4,1,"Opposition to the Rebuilding",1,2
ezr,4,2,"Opposition to the Rebuilding",3,3
ezr,4,3,"Opposition to the Rebuilding",4,5
ezr,4,4,"Later Opposition Under Xerxes and Artaxerxes",6,6
ezr,4,5,"Later Opposition Under Xerxes and Artaxerxes",7,7
ezr,4,6,"Later Opposition Under Xerxes and Artaxerxes",8,8
ezr,4,7,"Later Opposition Under Xerxes and Artaxerxes",11,11
ezr,4,8,"Later Opposition Under Xerxes and Artaxerxes",17,17
ezr,4,9,"Later Opposition Under Xerxes and Artaxerxes",23,23
ezr,4,10,"Later Opposition Under Xerxes and Artaxerxes",24,24
ezr,5,1,"Tattenai’s Letter to Darius",1,2
ezr,5,2,"Tattenai’s Letter to Darius",3,5
ezr,5,3,"Tattenai’s Letter to Darius",6,7
ezr,6,1,"The Decree of Darius",1,2
ezr,6,2,"Completion and Dedication of the Temple",13,15
ezr,6,3,"Completion and Dedication of the Temple",16,18
ezr,6,4,"The Passover",19,22
ezr,7,1,"Ezra Comes to Jerusalem",1,7
ezr,7,2,"Ezra Comes to Jerusalem",8,10
ezr,7,3,"King Artaxerxes’ Letter to Ezra",11,11
ezr,7,4,"King Artaxerxes’ Letter to Ezra",27,28
ezr,8,1,"List of the Family Heads Returning With Ezra",1,1
ezr,8,2,"The Return to Jerusalem",15,20
ezr,8,3,"The Return to Jerusalem",21,23
ezr,8,4,"The Return to Jerusalem",24,27
ezr,8,5,"The Return to Jerusalem",28,30
ezr,8,6,"The Return to Jerusalem",31,32
ezr,8,7,"The Return to Jerusalem",33,34
ezr,8,8,"The Return to Jerusalem",35,36
ezr,9,1,"Ezra’s Prayer About Intermarriage",1,2
ezr,9,2,"Ezra’s Prayer About Intermarriage",3,4
ezr,9,3,"Ezra’s Prayer About Intermarriage",5,6
ezr,10,1,"The People’s Confession of Sin",1,4
ezr,10,2,"The People’s Confession of Sin",5,6
ezr,10,3,"The People’s Confession of Sin",7,8
ezr,10,4,"The People’s Confession of Sin",9,11
ezr,10,5,"The People’s Confession of Sin",12,15
ezr,10,6,"The People’s Confession of Sin",16,17
ezr,10,7,"Those Guilty of Intermarriage",44,44
