book,chapter,paragraph,title,startVerseNo,endVerseNo
gal,1,1,"(无小标题)",1,2
gal,1,2,"(无小标题)",2,2
gal,1,3,"(无小标题)",3,5
gal,1,4,"No Other Gospel",6,9
gal,1,5,"No Other Gospel",10,10
gal,1,6,"Paul Called by God",11,12
gal,1,7,"Paul Called by God",13,17
gal,1,8,"Paul Called by God",18,20
gal,1,9,"Paul Called by God",21,24
gal,2,1,"Paul Accepted by the Apostles",1,5
gal,2,2,"Paul Accepted by the Apostles",6,10
gal,2,3,"Paul Opposes Cephas",11,13
gal,2,4,"Paul Opposes Cephas",14,14
gal,2,5,"Paul Opposes Cephas",15,16
gal,2,6,"Paul Opposes Cephas",17,18
gal,2,7,"Paul Opposes Cephas",19,21
gal,3,1,"Faith or Works of the Law",1,6
gal,3,2,"Faith or Works of the Law",7,9
gal,3,3,"Faith or Works of the Law",10,14
gal,3,4,"The Law and the Promise",15,18
gal,3,5,"The Law and the Promise",19,20
gal,3,6,"The Law and the Promise",21,22
gal,3,7,"Children of God",23,25
gal,3,8,"Children of God",26,29
gal,4,1,"(无小标题)",1,7
gal,4,2,"Paul’s Concern for the Galatians",8,11
gal,4,3,"Paul’s Concern for the Galatians",12,16
gal,4,4,"Paul’s Concern for the Galatians",17,20
gal,4,5,"Hagar and Sarah",21,23
gal,4,6,"Hagar and Sarah",24,27
gal,4,7,"Hagar and Sarah",27,27
gal,4,8,"Hagar and Sarah",28,31
gal,5,1,"Freedom in Christ",1,1
gal,5,2,"Freedom in Christ",2,6
gal,5,3,"Freedom in Christ",7,12
gal,5,4,"Life by the Spirit",13,15
gal,5,5,"Life by the Spirit",16,18
gal,5,6,"Life by the Spirit",19,21
gal,5,7,"Life by the Spirit",22,26
gal,6,1,"Doing Good to All",1,6
gal,6,2,"Doing Good to All",7,10
gal,6,3,"Not Circumcision but the New Creation",11,11
gal,6,4,"Not Circumcision but the New Creation",12,16
gal,6,5,"Not Circumcision but the New Creation",17,17
gal,6,6,"Not Circumcision but the New Creation",18,18
