book,chapter,paragraph,title,startVerseNo,endVerseNo
hos,1,1,"(无小标题)",1,1
hos,1,2,"Hosea’s Wife and Children",2,3
hos,1,3,"Hosea’s Wife and Children",4,5
hos,1,4,"Hosea’s Wife and Children",6,7
hos,1,5,"Hosea’s Wife and Children",8,9
hos,1,6,"Hosea’s Wife and Children",10,11
hos,2,1,"(无小标题)",1,1
hos,2,2,"Israel Punished and Restored",2,8
hos,2,3,"Israel Punished and Restored",9,13
hos,2,4,"Israel Punished and Restored",14,15
hos,2,5,"Israel Punished and Restored",16,20
hos,2,6,"Israel Punished and Restored",21,23
hos,3,1,"Hosea’s Reconciliation With His Wife",1,1
hos,3,2,"Hosea’s Reconciliation With His Wife",2,3
hos,3,3,"Hosea’s Reconciliation With His Wife",4,5
hos,4,1,"The Charge Against Israel",1,3
hos,4,2,"The Charge Against Israel",4,6
hos,4,3,"The Charge Against Israel",6,9
hos,4,4,"The Charge Against Israel",10,13
hos,4,5,"The Charge Against Israel",14,14
hos,4,6,"The Charge Against Israel",15,15
hos,4,7,"The Charge Against Israel",15,19
hos,5,1,"Judgment Against Israel",1,3
hos,5,2,"Judgment Against Israel",4,7
hos,5,3,"Judgment Against Israel",8,12
hos,5,4,"Judgment Against Israel",13,15
hos,6,1,"Israel Unrepentant",1,3
hos,6,2,"Israel Unrepentant",4,10
hos,6,3,"Israel Unrepentant",11,11
hos,6,4,"Israel Unrepentant",11,11
hos,7,1,"(无小标题)",1,2
hos,7,2,"(无小标题)",3,7
hos,7,3,"(无小标题)",8,10
hos,7,4,"(无小标题)",11,16
hos,8,1,"Israel to Reap the Whirlwind",1,6
hos,8,2,"Israel to Reap the Whirlwind",7,10
hos,8,3,"Israel to Reap the Whirlwind",11,14
hos,9,1,"Punishment for Israel",1,4
hos,9,2,"Punishment for Israel",5,9
hos,9,3,"Punishment for Israel",10,13
hos,9,4,"Punishment for Israel",14,14
hos,9,5,"Punishment for Israel",15,16
hos,9,6,"Punishment for Israel",17,17
hos,10,1,"(无小标题)",1,2
hos,10,2,"(无小标题)",3,8
hos,10,3,"(无小标题)",9,15
hos,11,1,"God’s Love for Israel",1,4
hos,11,2,"God’s Love for Israel",5,7
hos,11,3,"God’s Love for Israel",8,11
hos,11,4,"Israel’s Sin",12,12
hos,12,1,"(无小标题)",1,6
hos,12,2,"(无小标题)",7,8
hos,12,3,"(无小标题)",9,10
hos,12,4,"(无小标题)",11,14
hos,13,1,"The Lord’s Anger Against Israel",1,3
hos,13,2,"The Lord’s Anger Against Israel",4,8
hos,13,3,"The Lord’s Anger Against Israel",9,13
hos,13,4,"The Lord’s Anger Against Israel",14,14
hos,13,5,"The Lord’s Anger Against Israel",14,16
hos,14,1,"Repentance to Bring Blessing",1,3
hos,14,2,"Repentance to Bring Blessing",4,8
hos,14,3,"Repentance to Bring Blessing",9,9
