book,chapter,paragraph,title,startVerseNo,endVerseNo
joel,1,1,"(无小标题)",1,1
joel,1,2,"An Invasion of Locusts",2,4
joel,1,3,"An Invasion of Locusts",5,7
joel,1,4,"An Invasion of Locusts",8,10
joel,1,5,"An Invasion of Locusts",11,12
joel,1,6,"A Call to Lamentation",13,14
joel,1,7,"A Call to Lamentation",15,15
joel,1,8,"A Call to Lamentation",16,18
joel,1,9,"A Call to Lamentation",19,20
joel,2,1,"An Army of Locusts",1,1
joel,2,2,"An Army of Locusts",1,2
joel,2,3,"An Army of Locusts",3,5
joel,2,4,"An Army of Locusts",6,9
joel,2,5,"An Army of Locusts",10,11
joel,2,6,"Rend Your Heart",12,12
joel,2,7,"Rend Your Heart",13,14
joel,2,8,"Rend Your Heart",15,17
joel,2,9,"The Lord’s Answer",18,18
joel,2,10,"The Lord’s Answer",19,19
joel,2,11,"The Lord’s Answer",19,19
joel,2,12,"The Lord’s Answer",20,20
joel,2,13,"The Lord’s Answer",20,24
joel,2,14,"The Lord’s Answer",25,27
joel,2,15,"The Day of the Lord",28,32
joel,3,1,"The Nations Judged",1,3
joel,3,2,"The Nations Judged",4,6
joel,3,3,"The Nations Judged",7,8
joel,3,4,"The Nations Judged",9,11
joel,3,5,"The Nations Judged",11,11
joel,3,6,"The Nations Judged",12,13
joel,3,7,"The Nations Judged",14,16
joel,3,8,"Blessings for God’s People",17,17
joel,3,9,"Blessings for God’s People",18,21
