book,chapter,paragraph,title,startVerseNo,endVerseNo
jon,1,1,"Jonah Flees From the Lord",1,2
jon,1,2,"Jonah Flees From the Lord",3,3
jon,1,3,"Jonah Flees From the Lord",4,5
jon,1,4,"Jonah Flees From the Lord",5,6
jon,1,5,"Jonah Flees From the Lord",7,8
jon,1,6,"Jonah Flees From the Lord",9,9
jon,1,7,"Jonah Flees From the Lord",10,10
jon,1,8,"Jonah Flees From the Lord",11,11
jon,1,9,"Jonah Flees From the Lord",12,12
jon,1,10,"Jonah Flees From the Lord",13,16
jon,1,11,"Jonah’s Prayer",17,17
jon,2,1,"(无小标题)",1,2
jon,2,2,"(无小标题)",2,6
jon,2,3,"(无小标题)",7,7
jon,2,4,"(无小标题)",8,9
jon,2,5,"(无小标题)",10,10
jon,3,1,"Jonah Goes to Nineveh",1,2
jon,3,2,"Jonah Goes to Nineveh",3,5
jon,3,3,"Jonah Goes to Nineveh",6,7
jon,3,4,"Jonah Goes to Nineveh",10,10
jon,4,1,"Jonah’s Anger at the Lord’s Compassion",1,3
jon,4,2,"Jonah’s Anger at the Lord’s Compassion",4,4
jon,4,3,"Jonah’s Anger at the Lord’s Compassion",5,8
jon,4,4,"Jonah’s Anger at the Lord’s Compassion",9,9
jon,4,5,"Jonah’s Anger at the Lord’s Compassion",9,9
jon,4,6,"Jonah’s Anger at the Lord’s Compassion",10,11
