book,chapter,paragraph,title,startVerseNo,endVerseNo
jos,1,1,"Joshua Installed as Leader",1,6
jos,1,2,"Joshua Installed as Leader",7,9
jos,1,3,"Joshua Installed as Leader",10,11
jos,1,4,"Joshua Installed as Leader",12,15
jos,1,5,"Joshua Installed as Leader",16,18
jos,2,1,"Rahab and the Spies",1,1
jos,2,2,"Rahab and the Spies",2,3
jos,2,3,"Rahab and the Spies",4,7
jos,2,4,"Rahab and the Spies",8,11
jos,2,5,"Rahab and the Spies",12,13
jos,2,6,"Rahab and the Spies",14,14
jos,2,7,"Rahab and the Spies",15,16
jos,2,8,"Rahab and the Spies",17,20
jos,2,9,"Rahab and the Spies",21,21
jos,2,10,"Rahab and the Spies",21,21
jos,2,11,"Rahab and the Spies",22,24
jos,3,1,"Crossing the Jordan",1,4
jos,3,2,"Crossing the Jordan",5,5
jos,3,3,"Crossing the Jordan",6,6
jos,3,4,"Crossing the Jordan",7,8
jos,3,5,"Crossing the Jordan",9,13
jos,3,6,"Crossing the Jordan",14,17
jos,4,1,"(无小标题)",1,3
jos,4,2,"(无小标题)",4,7
jos,4,3,"(无小标题)",8,9
jos,4,4,"(无小标题)",10,13
jos,4,5,"(无小标题)",14,14
jos,4,6,"(无小标题)",15,16
jos,4,7,"(无小标题)",17,17
jos,4,8,"(无小标题)",18,18
jos,4,9,"(无小标题)",19,24
jos,5,1,"(无小标题)",1,1
jos,5,2,"Circumcision and Passover at Gilgal",2,3
jos,5,3,"Circumcision and Passover at Gilgal",4,8
jos,5,4,"Circumcision and Passover at Gilgal",9,9
jos,5,5,"Circumcision and Passover at Gilgal",10,12
jos,5,6,"The Fall of Jericho",13,13
jos,5,7,"The Fall of Jericho",14,14
jos,5,8,"The Fall of Jericho",15,15
jos,6,1,"(无小标题)",1,1
jos,6,2,"(无小标题)",2,5
jos,6,3,"(无小标题)",6,7
jos,6,4,"(无小标题)",8,11
jos,6,5,"(无小标题)",12,14
jos,6,6,"(无小标题)",15,19
jos,6,7,"(无小标题)",20,21
jos,6,8,"(无小标题)",22,23
jos,6,9,"(无小标题)",24,25
jos,6,10,"(无小标题)",26,26
jos,6,11,"(无小标题)",26,26
jos,6,12,"(无小标题)",27,27
