book,chapter,paragraph,title,startVerseNo,endVerseNo
jud,1,1,"(无小标题)",1,1
jud,1,2,"(无小标题)",1,1
jud,1,3,"(无小标题)",2,2
jud,1,4,"The Sin and Doom of Ungodly People",3,4
jud,1,5,"The Sin and Doom of Ungodly People",5,7
jud,1,6,"The Sin and Doom of Ungodly People",8,10
jud,1,7,"The Sin and Doom of Ungodly People",11,11
jud,1,8,"The Sin and Doom of Ungodly People",12,13
jud,1,9,"The Sin and Doom of Ungodly People",14,16
jud,1,10,"A Call to Persevere",17,19
jud,1,11,"A Call to Persevere",20,21
jud,1,12,"A Call to Persevere",22,23
jud,1,13,"Doxology",24,25
