book,chapter,paragraph,title,startVerseNo,endVerseNo
luk,1,1,"Introduction(A)",1,4
luk,1,2,"The Birth of John the Baptist Foretold",5,7
luk,1,3,"The Birth of John the Baptist Foretold",8,10
luk,1,4,"The Birth of John the Baptist Foretold",11,17
luk,1,5,"The Birth of John the Baptist Foretold",18,18
luk,1,6,"The Birth of John the Baptist Foretold",19,20
luk,1,7,"The Birth of John the Baptist Foretold",21,22
luk,1,8,"The Birth of John the Baptist Foretold",23,25
luk,1,9,"The Birth of Jesus Foretold",26,28
luk,1,10,"The Birth of Jesus Foretold",29,33
luk,1,11,"The Birth of Jesus Foretold",34,34
luk,1,12,"The Birth of Jesus Foretold",35,37
luk,1,13,"The Birth of Jesus Foretold",38,38
luk,1,14,"Mary Visits Elizabeth",39,45
luk,1,15,"Mary’s Song(BC)",46,46
luk,1,16,"Mary’s Song(BC)",46,55
luk,1,17,"Mary’s Song(BC)",56,56
luk,1,18,"The Birth of John the Baptist",57,58
luk,1,19,"The Birth of John the Baptist",59,60
luk,1,20,"The Birth of John the Baptist",61,61
luk,1,21,"The Birth of John the Baptist",62,66
luk,1,22,"Zechariah’s Song",67,67
luk,1,23,"Zechariah’s Song",68,75
luk,1,24,"Zechariah’s Song",76,79
luk,1,25,"Zechariah’s Song",80,80
luk,2,1,"The Birth of Jesus",1,3
luk,2,2,"The Birth of Jesus",4,7
luk,2,3,"The Birth of Jesus",8,12
luk,2,4,"The Birth of Jesus",13,13
luk,2,5,"The Birth of Jesus",14,14
luk,2,6,"The Birth of Jesus",15,15
luk,2,7,"The Birth of Jesus",16,20
luk,2,8,"The Birth of Jesus",21,21
luk,2,9,"Jesus Presented in the Temple",22,24
luk,2,10,"Jesus Presented in the Temple",25,28
luk,2,11,"Jesus Presented in the Temple",29,32
luk,2,12,"Jesus Presented in the Temple",33,35
luk,2,13,"Jesus Presented in the Temple",36,38
luk,2,14,"Jesus Presented in the Temple",39,40
luk,2,15,"The Boy Jesus at the Temple",41,48
luk,2,16,"The Boy Jesus at the Temple",49,50
luk,2,17,"The Boy Jesus at the Temple",51,52
luk,3,1,"John the Baptist Prepares the Way(A)(B)",1,4
luk,3,2,"John the Baptist Prepares the Way(A)(B)",4,6
luk,3,3,"John the Baptist Prepares the Way(A)(B)",7,9
luk,3,4,"John the Baptist Prepares the Way(A)(B)",10,10
luk,3,5,"John the Baptist Prepares the Way(A)(B)",11,11
luk,3,6,"John the Baptist Prepares the Way(A)(B)",12,12
luk,3,7,"John the Baptist Prepares the Way(A)(B)",13,13
luk,3,8,"John the Baptist Prepares the Way(A)(B)",14,14
luk,3,9,"John the Baptist Prepares the Way(A)(B)",14,14
luk,3,10,"John the Baptist Prepares the Way(A)(B)",15,18
luk,3,11,"John the Baptist Prepares the Way(A)(B)",19,20
luk,3,12,"The Baptism and Genealogy of Jesus(AA)(AB)",21,22
luk,3,13,"The Baptism and Genealogy of Jesus(AA)(AB)",23,23
luk,4,1,"Jesus Is Tested in the Wilderness(A)",1,2
luk,4,2,"Jesus Is Tested in the Wilderness(A)",3,3
luk,4,3,"Jesus Is Tested in the Wilderness(A)",4,4
luk,4,4,"Jesus Is Tested in the Wilderness(A)",5,7
luk,4,5,"Jesus Is Tested in the Wilderness(A)",8,8
luk,4,6,"Jesus Is Tested in the Wilderness(A)",9,10
luk,4,7,"Jesus Is Tested in the Wilderness(A)",10,11
luk,4,8,"Jesus Is Tested in the Wilderness(A)",12,12
luk,4,9,"Jesus Is Tested in the Wilderness(A)",13,13
luk,4,10,"Jesus Rejected at Nazareth",14,15
luk,4,11,"Jesus Rejected at Nazareth",16,17
luk,4,12,"Jesus Rejected at Nazareth",18,19
luk,4,13,"Jesus Rejected at Nazareth",20,21
luk,4,14,"Jesus Rejected at Nazareth",22,22
luk,4,15,"Jesus Rejected at Nazareth",23,23
luk,4,16,"Jesus Rejected at Nazareth",24,27
luk,4,17,"Jesus Rejected at Nazareth",28,30
luk,4,18,"Jesus Drives Out an Impure Spirit(AJ)",31,32
luk,4,19,"Jesus Drives Out an Impure Spirit(AJ)",33,34
luk,4,20,"Jesus Drives Out an Impure Spirit(AJ)",35,35
luk,4,21,"Jesus Drives Out an Impure Spirit(AJ)",36,37
luk,4,22,"Jesus Heals Many(AV)(AW)",38,39
luk,4,23,"Jesus Heals Many(AV)(AW)",40,41
luk,4,24,"Jesus Heals Many(AV)(AW)",42,44
luk,5,1,"Jesus Calls His First Disciples(A)",1,3
luk,5,2,"Jesus Calls His First Disciples(A)",4,4
luk,5,3,"Jesus Calls His First Disciples(A)",5,5
luk,5,4,"Jesus Calls His First Disciples(A)",6,7
luk,5,5,"Jesus Calls His First Disciples(A)",8,10
luk,5,6,"Jesus Calls His First Disciples(A)",10,11
luk,5,7,"Jesus Heals a Man With Leprosy(K)",12,12
luk,5,8,"Jesus Heals a Man With Leprosy(K)",13,13
luk,5,9,"Jesus Heals a Man With Leprosy(K)",14,14
luk,5,10,"Jesus Heals a Man With Leprosy(K)",15,16
luk,5,11,"Jesus Forgives and Heals a Paralyzed Man(Q)",17,19
luk,5,12,"Jesus Forgives and Heals a Paralyzed Man(Q)",20,20
luk,5,13,"Jesus Forgives and Heals a Paralyzed Man(Q)",21,21
luk,5,14,"Jesus Forgives and Heals a Paralyzed Man(Q)",22,26
luk,5,15,"Jesus Calls Levi and Eats With Sinners(X)",27,28
luk,5,16,"Jesus Calls Levi and Eats With Sinners(X)",29,30
luk,5,17,"Jesus Calls Levi and Eats With Sinners(X)",31,32
luk,5,18,"Jesus Questioned About Fasting(AE)",33,33
luk,5,19,"Jesus Questioned About Fasting(AE)",34,35
luk,5,20,"Jesus Questioned About Fasting(AE)",36,39
luk,6,1,"Jesus Is Lord of the Sabbath(A)",1,2
luk,6,2,"Jesus Is Lord of the Sabbath(A)",3,5
luk,6,3,"Jesus Is Lord of the Sabbath(A)",6,8
luk,6,4,"Jesus Is Lord of the Sabbath(A)",9,9
luk,6,5,"Jesus Is Lord of the Sabbath(A)",10,11
