book,chapter,paragraph,title,startVerseNo,endVerseNo
mal,1,1,"(无小标题)",1,1
mal,1,2,"Israel Doubts God’s Love",2,2
mal,1,3,"Israel Doubts God’s Love",2,2
mal,1,4,"Israel Doubts God’s Love",2,3
mal,1,5,"Israel Doubts God’s Love",4,4
mal,1,6,"Israel Doubts God’s Love",4,5
mal,1,7,"Breaking Covenant Through Blemished Sacrifices",6,6
mal,1,8,"Breaking Covenant Through Blemished Sacrifices",6,6
mal,1,9,"Breaking Covenant Through Blemished Sacrifices",6,6
mal,1,10,"Breaking Covenant Through Blemished Sacrifices",7,7
mal,1,11,"Breaking Covenant Through Blemished Sacrifices",7,7
mal,1,12,"Breaking Covenant Through Blemished Sacrifices",7,8
mal,1,13,"Breaking Covenant Through Blemished Sacrifices",9,9
mal,1,14,"Breaking Covenant Through Blemished Sacrifices",10,11
mal,1,15,"Breaking Covenant Through Blemished Sacrifices",12,13
mal,1,16,"Breaking Covenant Through Blemished Sacrifices",13,14
mal,2,1,"Additional Warning to the Priests",1,2
mal,2,2,"Additional Warning to the Priests",3,6
mal,2,3,"Additional Warning to the Priests",7,9
mal,2,4,"Breaking Covenant Through Divorce",10,10
mal,2,5,"Breaking Covenant Through Divorce",11,12
mal,2,6,"Breaking Covenant Through Divorce",13,14
mal,2,7,"Breaking Covenant Through Divorce",15,15
mal,2,8,"Breaking Covenant Through Divorce",16,16
mal,2,9,"Breaking Covenant Through Divorce",16,16
mal,2,10,"Breaking Covenant Through Injustice",17,17
mal,2,11,"Breaking Covenant Through Injustice",17,17
mal,2,12,"Breaking Covenant Through Injustice",17,17
mal,3,1,"(无小标题)",1,1
mal,3,2,"(无小标题)",2,4
mal,3,3,"(无小标题)",5,5
mal,3,4,"Breaking Covenant by Withholding Tithes",6,7
mal,3,5,"Breaking Covenant by Withholding Tithes",7,7
mal,3,6,"Breaking Covenant by Withholding Tithes",8,8
mal,3,7,"Breaking Covenant by Withholding Tithes",8,8
mal,3,8,"Breaking Covenant by Withholding Tithes",8,12
mal,3,9,"Israel Speaks Arrogantly Against God",13,13
mal,3,10,"Israel Speaks Arrogantly Against God",13,13
mal,3,11,"Israel Speaks Arrogantly Against God",14,15
mal,3,12,"The Faithful Remnant",16,16
mal,3,13,"The Faithful Remnant",17,18
mal,4,1,"Judgment and Covenant Renewal",1,3
mal,4,2,"Judgment and Covenant Renewal",4,4
mal,4,3,"Judgment and Covenant Renewal",5,6
