book,chapter,paragraph,title,startVerseNo,endVerseNo
mark,1,1,"John the Baptist Prepares the Way(A)",1,2
mark,1,2,"John the Baptist Prepares the Way(A)",2,3
mark,1,3,"John the Baptist Prepares the Way(A)",4,8
mark,1,4,"The Baptism and Testing of Jesus(L)(M)",9,11
mark,1,5,"The Baptism and Testing of Jesus(L)(M)",12,13
mark,1,6,"Jesus Announces the Good News(U)",14,15
mark,1,7,"Jesus Calls His First Disciples",16,18
mark,1,8,"Jesus Calls His First Disciples",19,20
mark,1,9,"Jesus Drives Out an Impure Spirit(AC)",21,24
mark,1,10,"Jesus Drives Out an Impure Spirit(AC)",25,26
mark,1,11,"Jesus Drives Out an Impure Spirit(AC)",27,28
mark,1,12,"Jesus Heals Many(AM)(AN)",29,31
mark,1,13,"Jesus Heals Many(AM)(AN)",32,34
mark,1,14,"Jesus Prays in a Solitary Place(AT)",35,37
mark,1,15,"Jesus Prays in a Solitary Place(AT)",38,39
mark,1,16,"Jesus Heals a Man With Leprosy(AY)",40,40
mark,1,17,"Jesus Heals a Man With Leprosy(AY)",41,42
mark,1,18,"Jesus Heals a Man With Leprosy(AY)",43,45
mark,2,1,"Jesus Forgives and Heals a Paralyzed Man(A)",1,5
mark,2,2,"Jesus Forgives and Heals a Paralyzed Man(A)",6,7
mark,2,3,"Jesus Forgives and Heals a Paralyzed Man(A)",8,12
mark,2,4,"Jesus Calls Levi and Eats With Sinners(I)",13,14
mark,2,5,"Jesus Calls Levi and Eats With Sinners(I)",15,16
mark,2,6,"Jesus Calls Levi and Eats With Sinners(I)",17,17
mark,2,7,"Jesus Questioned About Fasting(O)",18,18
mark,2,8,"Jesus Questioned About Fasting(O)",19,20
mark,2,9,"Jesus Questioned About Fasting(O)",21,22
mark,2,10,"Jesus Is Lord of the Sabbath(R)(S)",23,24
mark,2,11,"Jesus Is Lord of the Sabbath(R)(S)",25,26
mark,2,12,"Jesus Is Lord of the Sabbath(R)(S)",27,28
mark,3,1,"Jesus Heals on the Sabbath",1,3
mark,3,2,"Jesus Heals on the Sabbath",4,4
mark,3,3,"Jesus Heals on the Sabbath",5,6
mark,3,4,"Crowds Follow Jesus(F)",7,12
mark,3,5,"Jesus Appoints the Twelve(M)",13,19
mark,3,6,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",20,21
mark,3,7,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",22,22
mark,3,8,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",23,29
mark,3,9,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",30,30
mark,3,10,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",31,32
mark,3,11,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",33,33
mark,3,12,"Jesus Accused by His Family and by Teachers of the Law(R)(S)",34,35
mark,4,1,"The Parable of the Sower(A)(B)",1,8
mark,4,2,"The Parable of the Sower(A)(B)",9,9
mark,4,3,"The Parable of the Sower(A)(B)",10,12
mark,4,4,"The Parable of the Sower(A)(B)",12,12
mark,4,5,"The Parable of the Sower(A)(B)",13,20
mark,4,6,"A Lamp on a Stand",21,23
mark,4,7,"A Lamp on a Stand",24,25
mark,4,8,"The Parable of the Growing Seed",26,29
mark,4,9,"The Parable of the Mustard Seed(U)",30,32
mark,4,10,"The Parable of the Mustard Seed(U)",33,34
mark,4,11,"Jesus Calms the Storm(Y)",35,38
mark,4,12,"Jesus Calms the Storm(Y)",39,39
mark,4,13,"Jesus Calms the Storm(Y)",40,40
mark,4,14,"Jesus Calms the Storm(Y)",41,41
mark,5,1,"Jesus Restores a Demon-Possessed Man(A)(B)",1,5
mark,5,2,"Jesus Restores a Demon-Possessed Man(A)(B)",6,8
mark,5,3,"Jesus Restores a Demon-Possessed Man(A)(B)",9,9
mark,5,4,"Jesus Restores a Demon-Possessed Man(A)(B)",9,10
