book,chapter,paragraph,title,startVerseNo,endVerseNo
mat,1,1,"The Genealogy of Jesus the Messiah(A)(B)(C)",1,1
mat,1,2,"The Genealogy of Jesus the Messiah(A)(B)(C)",17,17
mat,1,3,"Joseph Accepts Jesus as His Son",18,19
mat,1,4,"Joseph Accepts Jesus as His Son",20,21
mat,1,5,"Joseph Accepts Jesus as His Son",22,23
mat,1,6,"Joseph Accepts Jesus as His Son",24,25
mat,2,1,"The Magi Visit the Messiah",1,2
mat,2,2,"The Magi Visit the Messiah",3,5
mat,2,3,"The Magi Visit the Messiah",6,6
mat,2,4,"The Magi Visit the Messiah",7,8
mat,2,5,"The Magi Visit the Messiah",9,12
mat,2,6,"The Escape to Egypt",13,13
mat,2,7,"The Escape to Egypt",14,15
mat,2,8,"The Escape to Egypt",16,17
mat,2,9,"The Escape to Egypt",18,18
mat,2,10,"The Return to Nazareth",19,20
mat,2,11,"The Return to Nazareth",21,23
mat,3,1,"John the Baptist Prepares the Way(A)",1,3
mat,3,2,"John the Baptist Prepares the Way(A)",3,3
mat,3,3,"John the Baptist Prepares the Way(A)",4,6
mat,3,4,"John the Baptist Prepares the Way(A)",7,10
mat,3,5,"John the Baptist Prepares the Way(A)",11,12
mat,3,6,"The Baptism of Jesus(R)",13,14
mat,3,7,"The Baptism of Jesus(R)",15,15
mat,3,8,"The Baptism of Jesus(R)",16,17
mat,4,1,"Jesus Is Tested in the Wilderness(A)",1,3
mat,4,2,"Jesus Is Tested in the Wilderness(A)",4,4
mat,4,3,"Jesus Is Tested in the Wilderness(A)",5,6
mat,4,4,"Jesus Is Tested in the Wilderness(A)",6,6
mat,4,5,"Jesus Is Tested in the Wilderness(A)",7,7
mat,4,6,"Jesus Is Tested in the Wilderness(A)",8,9
mat,4,7,"Jesus Is Tested in the Wilderness(A)",10,10
mat,4,8,"Jesus Is Tested in the Wilderness(A)",11,11
mat,4,9,"Jesus Begins to Preach",12,14
mat,4,10,"Jesus Begins to Preach",15,16
mat,4,11,"Jesus Begins to Preach",17,17
mat,4,12,"Jesus Calls His First Disciples(V)",18,20
