book,chapter,paragraph,title,startVerseNo,endVerseNo
mic,1,1,"(无小标题)",1,1
mic,1,2,"(无小标题)",2,2
mic,1,3,"Judgment Against Samaria and Jerusalem",3,5
mic,1,4,"Judgment Against Samaria and Jerusalem",6,7
mic,1,5,"Weeping and Mourning",8,16
mic,2,1,"Human Plans and God’s Plans",1,2
mic,2,2,"Human Plans and God’s Plans",3,3
mic,2,3,"Human Plans and God’s Plans",3,4
mic,2,4,"Human Plans and God’s Plans",5,5
mic,2,5,"False Prophets",6,7
mic,2,6,"False Prophets",7,11
mic,2,7,"Deliverance Promised",12,13
mic,3,1,"Leaders and Prophets Rebuked",1,1
mic,3,2,"Leaders and Prophets Rebuked",1,3
mic,3,3,"Leaders and Prophets Rebuked",4,4
mic,3,4,"Leaders and Prophets Rebuked",5,5
mic,3,5,"Leaders and Prophets Rebuked",5,8
mic,3,6,"Leaders and Prophets Rebuked",9,12
mic,4,1,"The Mountain of the Lord(A)",1,1
mic,4,2,"The Mountain of the Lord(A)",1,1
mic,4,3,"The Mountain of the Lord(A)",2,2
mic,4,4,"The Mountain of the Lord(A)",2,5
mic,4,5,"The Lord’s Plan",6,6
mic,4,6,"The Lord’s Plan",6,8
mic,4,7,"The Lord’s Plan",9,10
mic,4,8,"The Lord’s Plan",11,13
mic,5,1,"A Promised Ruler From Bethlehem",1,1
mic,5,2,"A Promised Ruler From Bethlehem",2,2
mic,5,3,"A Promised Ruler From Bethlehem",3,3
mic,5,4,"A Promised Ruler From Bethlehem",4,4
mic,5,5,"A Promised Ruler From Bethlehem",5,6
mic,5,6,"A Promised Ruler From Bethlehem",7,9
mic,5,7,"A Promised Ruler From Bethlehem",10,10
mic,5,8,"A Promised Ruler From Bethlehem",10,15
mic,6,1,"The Lord’s Case Against Israel",1,1
mic,6,2,"The Lord’s Case Against Israel",1,1
mic,6,3,"The Lord’s Case Against Israel",2,2
mic,6,4,"The Lord’s Case Against Israel",3,5
mic,6,5,"The Lord’s Case Against Israel",6,8
mic,6,6,"Israel’s Guilt and Punishment",9,16
mic,7,1,"Israel’s Misery",1,6
mic,7,2,"Israel’s Misery",7,7
mic,7,3,"Israel Will Rise",8,10
mic,7,4,"Israel Will Rise",11,13
mic,7,5,"Prayer and Praise",14,14
mic,7,6,"Prayer and Praise",15,15
mic,7,7,"Prayer and Praise",16,20
