book,chapter,paragraph,title,startVerseNo,endVerseNo
php,1,1,"(无小标题)",1,1
php,1,2,"(无小标题)",1,1
php,1,3,"(无小标题)",2,2
php,1,4,"Thanksgiving and Prayer",3,6
php,1,5,"Thanksgiving and Prayer",7,8
php,1,6,"Thanksgiving and Prayer",9,11
php,1,7,"Paul’s Chains Advance the Gospel",12,14
php,1,8,"Paul’s Chains Advance the Gospel",15,18
php,1,9,"Paul’s Chains Advance the Gospel",18,26
php,1,10,"Life Worthy of the Gospel",27,30
php,2,1,"Imitating Christ’s Humility",1,4
php,2,2,"Imitating Christ’s Humility",5,5
php,2,3,"Imitating Christ’s Humility",6,8
php,2,4,"Imitating Christ’s Humility",9,11
php,2,5,"Do Everything Without Grumbling",12,13
php,2,6,"Do Everything Without Grumbling",14,18
php,2,7,"Timothy and Epaphroditus",19,24
php,2,8,"Timothy and Epaphroditus",25,30
php,3,1,"No Confidence in the Flesh",1,4
php,3,2,"No Confidence in the Flesh",4,6
php,3,3,"No Confidence in the Flesh",7,11
php,3,4,"No Confidence in the Flesh",12,14
php,3,5,"Following Paul’s Example",15,16
php,3,6,"Following Paul’s Example",17,21
php,4,1,"Closing Appeal for Steadfastness and Unity",1,1
php,4,2,"Closing Appeal for Steadfastness and Unity",2,3
php,4,3,"Final Exhortations",4,7
php,4,4,"Final Exhortations",8,9
php,4,5,"Thanks for Their Gifts",10,13
php,4,6,"Thanks for Their Gifts",14,19
php,4,7,"Thanks for Their Gifts",20,20
php,4,8,"Final Greetings",21,22
php,4,9,"Final Greetings",23,23
