book,chapter,paragraph,title,startVerseNo,endVerseNo
pro,1,1,"Purpose and Theme",1,1
pro,1,2,"Purpose and Theme",2,6
pro,1,3,"Purpose and Theme",7,7
pro,1,4,"Warning Against the Invitation of Sinful Men",8,9
pro,1,5,"Warning Against the Invitation of Sinful Men",10,19
pro,1,6,"Wisdom’s Rebuke",20,21
pro,1,7,"Wisdom’s Rebuke",22,27
pro,1,8,"Wisdom’s Rebuke",28,33
pro,2,1,"Moral Benefits of Wisdom",1,8
pro,2,2,"Moral Benefits of Wisdom",9,11
pro,2,3,"Moral Benefits of Wisdom",12,15
pro,2,4,"Moral Benefits of Wisdom",16,19
pro,2,5,"Moral Benefits of Wisdom",20,22
pro,3,1,"Wisdom Bestows Well-Being",1,2
pro,3,2,"Wisdom Bestows Well-Being",3,4
pro,3,3,"Wisdom Bestows Well-Being",5,6
pro,3,4,"Wisdom Bestows Well-Being",7,8
pro,3,5,"Wisdom Bestows Well-Being",9,10
pro,3,6,"Wisdom Bestows Well-Being",11,12
pro,3,7,"Wisdom Bestows Well-Being",13,18
pro,3,8,"Wisdom Bestows Well-Being",19,20
pro,3,9,"Wisdom Bestows Well-Being",21,26
pro,3,10,"Wisdom Bestows Well-Being",27,30
pro,3,11,"Wisdom Bestows Well-Being",31,31
pro,3,12,"Wisdom Bestows Well-Being",32,35
pro,4,1,"Get Wisdom at Any Cost",1,9
pro,4,2,"Get Wisdom at Any Cost",10,17
pro,4,3,"Get Wisdom at Any Cost",18,19
pro,4,4,"Get Wisdom at Any Cost",20,27
pro,5,1,"Warning Against Adultery",1,6
pro,5,2,"Warning Against Adultery",7,14
pro,5,3,"Warning Against Adultery",15,20
pro,5,4,"Warning Against Adultery",21,23
pro,6,1,"Warnings Against Folly",1,5
pro,6,2,"Warnings Against Folly",6,8
pro,6,3,"Warnings Against Folly",9,11
pro,6,4,"Warnings Against Folly",12,15
pro,6,5,"Warnings Against Folly",16,19
pro,6,6,"Warning Against Adultery",20,24
pro,6,7,"Warning Against Adultery",25,25
pro,6,8,"Warning Against Adultery",26,29
pro,6,9,"Warning Against Adultery",30,33
pro,6,10,"Warning Against Adultery",34,35
pro,7,1,"Warning Against the Adulterous Woman",1,5
pro,7,2,"Warning Against the Adulterous Woman",6,9
pro,7,3,"Warning Against the Adulterous Woman",10,13
pro,7,4,"Warning Against the Adulterous Woman",14,20
pro,7,5,"Warning Against the Adulterous Woman",21,23
pro,7,6,"Warning Against the Adulterous Woman",24,27
pro,8,1,"Wisdom’s Call",1,11
pro,8,2,"Wisdom’s Call",12,21
pro,8,3,"Wisdom’s Call",22,31
pro,8,4,"Wisdom’s Call",32,36
pro,9,1,"Invitations of Wisdom and Folly",1,6
pro,9,2,"Invitations of Wisdom and Folly",7,9
pro,9,3,"Invitations of Wisdom and Folly",10,12
pro,9,4,"Invitations of Wisdom and Folly",13,18
pro,10,1,"Proverbs of Solomon",1,1
pro,10,2,"Proverbs of Solomon",1,1
pro,10,3,"Proverbs of Solomon",2,2
pro,10,4,"Proverbs of Solomon",3,3
pro,10,5,"Proverbs of Solomon",4,4
pro,10,6,"Proverbs of Solomon",5,5
pro,10,7,"Proverbs of Solomon",6,6
pro,10,8,"Proverbs of Solomon",7,7
pro,10,9,"Proverbs of Solomon",8,8
pro,10,10,"Proverbs of Solomon",9,9
pro,10,11,"Proverbs of Solomon",10,10
pro,10,12,"Proverbs of Solomon",11,11
pro,10,13,"Proverbs of Solomon",12,12
pro,10,14,"Proverbs of Solomon",13,13
pro,10,15,"Proverbs of Solomon",14,14
pro,10,16,"Proverbs of Solomon",15,15
pro,10,17,"Proverbs of Solomon",16,16
pro,10,18,"Proverbs of Solomon",17,17
pro,10,19,"Proverbs of Solomon",18,18
pro,10,20,"Proverbs of Solomon",19,19
pro,10,21,"Proverbs of Solomon",20,20
pro,10,22,"Proverbs of Solomon",21,21
pro,10,23,"Proverbs of Solomon",22,22
pro,10,24,"Proverbs of Solomon",23,23
pro,10,25,"Proverbs of Solomon",24,24
pro,10,26,"Proverbs of Solomon",25,25
pro,10,27,"Proverbs of Solomon",26,26
pro,10,28,"Proverbs of Solomon",27,27
pro,10,29,"Proverbs of Solomon",28,28
pro,10,30,"Proverbs of Solomon",29,29
pro,10,31,"Proverbs of Solomon",30,30
pro,10,32,"Proverbs of Solomon",31,31
pro,10,33,"Proverbs of Solomon",32,32
pro,11,1,"(无小标题)",1,1
pro,11,2,"(无小标题)",2,2
pro,11,3,"(无小标题)",3,3
pro,11,4,"(无小标题)",4,4
pro,11,5,"(无小标题)",5,5
pro,11,6,"(无小标题)",6,6
pro,11,7,"(无小标题)",7,7
pro,11,8,"(无小标题)",8,8
pro,11,9,"(无小标题)",9,9
pro,11,10,"(无小标题)",10,10
pro,11,11,"(无小标题)",11,11
pro,11,12,"(无小标题)",12,12
pro,11,13,"(无小标题)",13,13
pro,11,14,"(无小标题)",14,14
pro,11,15,"(无小标题)",15,15
pro,11,16,"(无小标题)",16,16
pro,11,17,"(无小标题)",17,17
pro,11,18,"(无小标题)",18,18
pro,11,19,"(无小标题)",19,19
pro,11,20,"(无小标题)",20,20
pro,11,21,"(无小标题)",21,21
pro,11,22,"(无小标题)",22,22
pro,11,23,"(无小标题)",23,23
pro,11,24,"(无小标题)",24,24
pro,11,25,"(无小标题)",25,25
pro,11,26,"(无小标题)",26,26
pro,11,27,"(无小标题)",27,27
pro,11,28,"(无小标题)",28,28
pro,11,29,"(无小标题)",29,29
pro,11,30,"(无小标题)",30,30
pro,11,31,"(无小标题)",31,31
pro,12,1,"(无小标题)",1,1
pro,12,2,"(无小标题)",2,2
pro,12,3,"(无小标题)",3,3
pro,12,4,"(无小标题)",4,4
pro,12,5,"(无小标题)",5,5
pro,12,6,"(无小标题)",6,6
pro,12,7,"(无小标题)",7,7
pro,12,8,"(无小标题)",8,8
pro,12,9,"(无小标题)",9,9
pro,12,10,"(无小标题)",10,10
pro,12,11,"(无小标题)",11,11
pro,12,12,"(无小标题)",12,12
pro,12,13,"(无小标题)",13,13
pro,12,14,"(无小标题)",14,14
pro,12,15,"(无小标题)",15,15
pro,12,16,"(无小标题)",16,16
pro,12,17,"(无小标题)",17,17
pro,12,18,"(无小标题)",18,18
pro,12,19,"(无小标题)",19,19
pro,12,20,"(无小标题)",20,20
pro,12,21,"(无小标题)",21,21
pro,12,22,"(无小标题)",22,22
pro,12,23,"(无小标题)",23,23
pro,12,24,"(无小标题)",24,24
pro,12,25,"(无小标题)",25,25
pro,12,26,"(无小标题)",26,26
pro,12,27,"(无小标题)",27,27
pro,12,28,"(无小标题)",28,28
pro,13,1,"(无小标题)",1,1
pro,13,2,"(无小标题)",2,2
pro,13,3,"(无小标题)",3,3
pro,13,4,"(无小标题)",4,4
pro,13,5,"(无小标题)",5,5
pro,13,6,"(无小标题)",6,6
pro,13,7,"(无小标题)",7,7
pro,13,8,"(无小标题)",8,8
pro,13,9,"(无小标题)",9,9
pro,13,10,"(无小标题)",10,10
pro,13,11,"(无小标题)",11,11
pro,13,12,"(无小标题)",12,12
pro,13,13,"(无小标题)",13,13
pro,13,14,"(无小标题)",14,14
pro,13,15,"(无小标题)",15,15
pro,13,16,"(无小标题)",16,16
pro,13,17,"(无小标题)",17,17
pro,13,18,"(无小标题)",18,18
pro,13,19,"(无小标题)",19,19
pro,13,20,"(无小标题)",20,20
pro,13,21,"(无小标题)",21,21
pro,13,22,"(无小标题)",22,22
pro,13,23,"(无小标题)",23,23
pro,13,24,"(无小标题)",24,24
pro,13,25,"(无小标题)",25,25
pro,14,1,"(无小标题)",1,1
pro,14,2,"(无小标题)",2,2
pro,14,3,"(无小标题)",3,3
pro,14,4,"(无小标题)",4,4
pro,14,5,"(无小标题)",5,5
pro,14,6,"(无小标题)",6,6
pro,14,7,"(无小标题)",7,7
pro,14,8,"(无小标题)",8,8
pro,14,9,"(无小标题)",9,9
pro,14,10,"(无小标题)",10,10
pro,14,11,"(无小标题)",11,11
pro,14,12,"(无小标题)",12,12
pro,14,13,"(无小标题)",13,13
pro,14,14,"(无小标题)",14,14
pro,14,15,"(无小标题)",15,15
pro,14,16,"(无小标题)",16,16
pro,14,17,"(无小标题)",17,17
pro,14,18,"(无小标题)",18,18
pro,14,19,"(无小标题)",19,19
pro,14,20,"(无小标题)",20,20
pro,14,21,"(无小标题)",21,21
pro,14,22,"(无小标题)",22,22
pro,14,23,"(无小标题)",23,23
pro,14,24,"(无小标题)",24,24
pro,14,25,"(无小标题)",25,25
pro,14,26,"(无小标题)",26,26
pro,14,27,"(无小标题)",27,27
pro,14,28,"(无小标题)",28,28
pro,14,29,"(无小标题)",29,29
pro,14,30,"(无小标题)",30,30
pro,14,31,"(无小标题)",31,31
pro,14,32,"(无小标题)",32,32
pro,14,33,"(无小标题)",33,33
pro,14,34,"(无小标题)",34,34
pro,14,35,"(无小标题)",35,35
pro,15,1,"(无小标题)",1,1
pro,15,2,"(无小标题)",2,2
pro,15,3,"(无小标题)",3,3
pro,15,4,"(无小标题)",4,4
pro,15,5,"(无小标题)",5,5
pro,15,6,"(无小标题)",6,6
pro,15,7,"(无小标题)",7,7
pro,15,8,"(无小标题)",8,8
pro,15,9,"(无小标题)",9,9
