book,chapter,paragraph,title,startVerseNo,endVerseNo
rut,1,1,"Naomi Loses Her Husband and Sons",1,2
rut,1,2,"Naomi Loses Her Husband and Sons",3,5
rut,1,3,"Naomi and Ruth Return to Bethlehem",6,7
rut,1,4,"Naomi and Ruth Return to Bethlehem",8,9
rut,1,5,"Naomi and Ruth Return to Bethlehem",9,10
rut,1,6,"Naomi and Ruth Return to Bethlehem",11,13
rut,1,7,"Naomi and Ruth Return to Bethlehem",14,14
rut,1,8,"Naomi and Ruth Return to Bethlehem",15,15
rut,1,9,"Naomi and Ruth Return to Bethlehem",16,18
rut,1,10,"Naomi and Ruth Return to Bethlehem",19,19
rut,1,11,"Naomi and Ruth Return to Bethlehem",20,21
rut,1,12,"Naomi and Ruth Return to Bethlehem",22,22
rut,2,1,"Ruth Meets Boaz in the Grain Field",1,1
rut,2,2,"Ruth Meets Boaz in the Grain Field",2,2
rut,2,3,"Ruth Meets Boaz in the Grain Field",2,3
rut,2,4,"Ruth Meets Boaz in the Grain Field",4,4
rut,2,5,"Ruth Meets Boaz in the Grain Field",4,4
rut,2,6,"Ruth Meets Boaz in the Grain Field",5,5
rut,2,7,"Ruth Meets Boaz in the Grain Field",6,7
rut,2,8,"Ruth Meets Boaz in the Grain Field",8,9
rut,2,9,"Ruth Meets Boaz in the Grain Field",10,10
rut,2,10,"Ruth Meets Boaz in the Grain Field",11,12
rut,2,11,"Ruth Meets Boaz in the Grain Field",13,13
rut,2,12,"Ruth Meets Boaz in the Grain Field",14,14
rut,2,13,"Ruth Meets Boaz in the Grain Field",14,16
rut,2,14,"Ruth Meets Boaz in the Grain Field",17,18
rut,2,15,"Ruth Meets Boaz in the Grain Field",19,19
rut,2,16,"Ruth Meets Boaz in the Grain Field",19,19
rut,2,17,"Ruth Meets Boaz in the Grain Field",20,20
rut,2,18,"Ruth Meets Boaz in the Grain Field",21,21
rut,2,19,"Ruth Meets Boaz in the Grain Field",22,22
rut,2,20,"Ruth Meets Boaz in the Grain Field",23,23
rut,3,1,"Ruth and Boaz at the Threshing Floor",1,4
rut,3,2,"Ruth and Boaz at the Threshing Floor",5,6
rut,3,3,"Ruth and Boaz at the Threshing Floor",7,8
rut,3,4,"Ruth and Boaz at the Threshing Floor",9,9
rut,3,5,"Ruth and Boaz at the Threshing Floor",9,9
rut,3,6,"Ruth and Boaz at the Threshing Floor",10,13
rut,3,7,"Ruth and Boaz at the Threshing Floor",14,14
rut,3,8,"Ruth and Boaz at the Threshing Floor",15,15
rut,3,9,"Ruth and Boaz at the Threshing Floor",16,16
rut,3,10,"Ruth and Boaz at the Threshing Floor",16,17
rut,3,11,"Ruth and Boaz at the Threshing Floor",18,18
rut,4,1,"Boaz Marries Ruth",1,1
rut,4,2,"Boaz Marries Ruth",2,4
rut,4,3,"Boaz Marries Ruth",4,4
rut,4,4,"Boaz Marries Ruth",5,5
rut,4,5,"Boaz Marries Ruth",6,6
rut,4,6,"Boaz Marries Ruth",7,7
rut,4,7,"Boaz Marries Ruth",8,8
rut,4,8,"Boaz Marries Ruth",9,10
rut,4,9,"Boaz Marries Ruth",11,12
rut,4,10,"Naomi Gains a Son",13,15
rut,4,11,"Naomi Gains a Son",16,17
rut,4,12,"The Genealogy of David(AL)",18,18
