book,chapter,paragraph,title,startVerseNo,endVerseNo
tit,1,1,"(无小标题)",1,3
tit,1,2,"(无小标题)",4,4
tit,1,3,"(无小标题)",4,4
tit,1,4,"Appointing Elders Who Love What Is Good(P)",5,9
tit,1,5,"Rebuking Those Who Fail to Do Good",10,16
tit,2,1,"Doing Good for the Sake of the Gospel",1,2
tit,2,2,"Doing Good for the Sake of the Gospel",3,5
tit,2,3,"Doing Good for the Sake of the Gospel",6,8
tit,2,4,"Doing Good for the Sake of the Gospel",9,10
tit,2,5,"Doing Good for the Sake of the Gospel",11,14
tit,2,6,"Doing Good for the Sake of the Gospel",15,15
tit,3,1,"Saved in Order to Do Good",1,2
tit,3,2,"Saved in Order to Do Good",3,8
tit,3,3,"Saved in Order to Do Good",9,11
tit,3,4,"Final Remarks",12,14
tit,3,5,"Final Remarks",15,15
tit,3,6,"Final Remarks",15,15
