book,chapter,paragraph,title,startVerseNo,endVerseNo
zec,1,1,"A Call to Return to the Lord",1,1
zec,1,2,"A Call to Return to the Lord",2,6
zec,1,3,"A Call to Return to the Lord",6,6
zec,1,4,"The Man Among the Myrtle Trees",7,7
zec,1,5,"The Man Among the Myrtle Trees",8,8
zec,1,6,"The Man Among the Myrtle Trees",9,9
zec,1,7,"The Man Among the Myrtle Trees",9,9
zec,1,8,"The Man Among the Myrtle Trees",10,10
zec,1,9,"The Man Among the Myrtle Trees",11,11
zec,1,10,"The Man Among the Myrtle Trees",12,13
zec,1,11,"The Man Among the Myrtle Trees",14,15
zec,1,12,"The Man Among the Myrtle Trees",16,16
zec,1,13,"The Man Among the Myrtle Trees",17,17
zec,1,14,"Four Horns and Four Craftsmen",18,19
zec,1,15,"Four Horns and Four Craftsmen",19,19
zec,1,16,"Four Horns and Four Craftsmen",20,21
zec,1,17,"Four Horns and Four Craftsmen",21,21
zec,2,1,"A Man With a Measuring Line",1,2
zec,2,2,"A Man With a Measuring Line",2,2
zec,2,3,"A Man With a Measuring Line",3,5
zec,2,4,"A Man With a Measuring Line",6,6
zec,2,5,"A Man With a Measuring Line",7,9
zec,2,6,"A Man With a Measuring Line",10,13
zec,3,1,"Clean Garments for the High Priest",1,2
zec,3,2,"Clean Garments for the High Priest",3,4
zec,3,3,"Clean Garments for the High Priest",4,4
zec,3,4,"Clean Garments for the High Priest",5,5
zec,3,5,"Clean Garments for the High Priest",6,7
zec,3,6,"Clean Garments for the High Priest",8,9
zec,3,7,"Clean Garments for the High Priest",10,10
zec,4,1,"The Gold Lampstand and the Two Olive Trees",1,2
zec,4,2,"The Gold Lampstand and the Two Olive Trees",2,3
zec,4,3,"The Gold Lampstand and the Two Olive Trees",4,4
zec,4,4,"The Gold Lampstand and the Two Olive Trees",5,5
zec,4,5,"The Gold Lampstand and the Two Olive Trees",5,5
zec,4,6,"The Gold Lampstand and the Two Olive Trees",6,6
zec,4,7,"The Gold Lampstand and the Two Olive Trees",7,7
zec,4,8,"The Gold Lampstand and the Two Olive Trees",8,9
zec,4,9,"The Gold Lampstand and the Two Olive Trees",10,10
zec,4,10,"The Gold Lampstand and the Two Olive Trees",11,11
zec,4,11,"The Gold Lampstand and the Two Olive Trees",12,12
zec,4,12,"The Gold Lampstand and the Two Olive Trees",13,13
zec,4,13,"The Gold Lampstand and the Two Olive Trees",13,13
zec,4,14,"The Gold Lampstand and the Two Olive Trees",14,14
zec,5,1,"The Flying Scroll",1,1
zec,5,2,"The Flying Scroll",2,2
zec,5,3,"The Flying Scroll",2,2
zec,5,4,"The Flying Scroll",3,4
zec,5,5,"The Woman in a Basket",5,5
zec,5,6,"The Woman in a Basket",6,6
zec,5,7,"The Woman in a Basket",6,6
zec,5,8,"The Woman in a Basket",7,8
zec,5,9,"The Woman in a Basket",9,9
zec,5,10,"The Woman in a Basket",10,10
zec,5,11,"The Woman in a Basket",11,11
zec,6,1,"Four Chariots",1,4
zec,6,2,"Four Chariots",5,6
zec,6,3,"Four Chariots",7,7
zec,6,4,"Four Chariots",8,8
zec,6,5,"A Crown for Joshua",9,15
zec,7,1,"Justice and Mercy, Not Fasting",1,3
zec,7,2,"Justice and Mercy, Not Fasting",4,7
zec,7,3,"Justice and Mercy, Not Fasting",8,10
zec,7,4,"Justice and Mercy, Not Fasting",11,12
zec,7,5,"Justice and Mercy, Not Fasting",13,14
zec,8,1,"The Lord Promises to Bless Jerusalem",1,1
zec,8,2,"The Lord Promises to Bless Jerusalem",2,2
zec,8,3,"The Lord Promises to Bless Jerusalem",3,3
zec,8,4,"The Lord Promises to Bless Jerusalem",4,5
zec,8,5,"The Lord Promises to Bless Jerusalem",6,6
zec,8,6,"The Lord Promises to Bless Jerusalem",7,8
zec,8,7,"The Lord Promises to Bless Jerusalem",9,11
zec,8,8,"The Lord Promises to Bless Jerusalem",12,13
zec,8,9,"The Lord Promises to Bless Jerusalem",14,17
zec,8,10,"The Lord Promises to Bless Jerusalem",18,18
zec,8,11,"The Lord Promises to Bless Jerusalem",19,19
zec,8,12,"The Lord Promises to Bless Jerusalem",20,22
zec,8,13,"The Lord Promises to Bless Jerusalem",23,23
zec,9,1,"Judgment on Israel’s Enemies",1,1
zec,9,2,"Judgment on Israel’s Enemies",1,8
zec,9,3,"The Coming of Zion’s King",9,13
zec,9,4,"The Lord Will Appear",14,17
zec,10,1,"The Lord Will Care for Judah",1,2
zec,10,2,"The Lord Will Care for Judah",3,5
zec,10,3,"The Lord Will Care for Judah",6,12
zec,11,1,"(无小标题)",1,3
zec,11,2,"Two Shepherds",4,6
zec,11,3,"Two Shepherds",7,8
zec,11,4,"Two Shepherds",8,9
zec,11,5,"Two Shepherds",10,11
zec,11,6,"Two Shepherds",12,12
zec,11,7,"Two Shepherds",13,13
zec,11,8,"Two Shepherds",14,14
zec,11,9,"Two Shepherds",15,16
zec,11,10,"Two Shepherds",17,17
zec,12,1,"Jerusalem’s Enemies to Be Destroyed",1,1
zec,12,2,"Jerusalem’s Enemies to Be Destroyed",1,5
zec,12,3,"Jerusalem’s Enemies to Be Destroyed",6,6
zec,12,4,"Jerusalem’s Enemies to Be Destroyed",7,9
zec,12,5,"Mourning for the One They Pierced",10,14
zec,13,1,"Cleansing From Sin",1,1
zec,13,2,"Cleansing From Sin",2,3
zec,13,3,"Cleansing From Sin",4,6
zec,13,4,"The Shepherd Struck, the Sheep Scattered",7,9
zec,14,1,"The Lord Comes and Reigns",1,1
zec,14,2,"The Lord Comes and Reigns",2,5
zec,14,3,"The Lord Comes and Reigns",6,7
zec,14,4,"The Lord Comes and Reigns",8,8
zec,14,5,"The Lord Comes and Reigns",9,9
zec,14,6,"The Lord Comes and Reigns",10,11
zec,14,7,"The Lord Comes and Reigns",12,15
zec,14,8,"The Lord Comes and Reigns",16,19
zec,14,9,"The Lord Comes and Reigns",20,21
