order,english,english-full,chi-simple,chi-tradition
1,GEN,Genesis,创世纪,創世紀
2,EXO,Exodus,出埃及记,出埃及記
3,LEV,Leviticus,利未记,利未記
4,NUM,Numbers,民数记,民數記
5,DEU,Deuteronomy,申命记,申命記
6,JOS,Joshua,约书亚记,約書亞記
7,JDG,Judges,士师记,士師記
8,RUT,Ruth,路得记,路得記
9,1SA,1 Samuel,撒母耳记上,撒母耳記上
10,2SA,2 Samuel,撒母耳记下,撒母耳記下
11,1KI,1 Kings,列王纪上,列王紀上
12,2KI,2 Kings,列王纪下,列王紀下
13,1CH,1 Chronicles,历代志上,歷代志上
14,2CH,2 Chronicles,历代志下,歷代志下
15,EZR,Ezra,以斯拉记,以斯拉記
16,NEH,Nehemiah,尼希米记,尼希米記
17,EST,Esther,以斯帖记,以斯帖記
18,JOB,Job,约伯记,約伯記
19,PSA,Psalm,诗篇,詩篇
20,PRO,Proverbs,箴言,箴言
21,ECC,Ecclesiastes,传道书,傳道書
22,Songs,Song of Songs,雅歌,雅歌
23,ISA,Isaiah,以赛亚书,以賽亞書
24,JER,Jeremiah,耶利米书,耶利米書
25,LAM,Lamentations,耶利米哀歌,耶利米哀歌
26,EZK,Ezekiel,以西结书,以西結書
27,DAN,Daniel,但以理书,但以理書
28,HOS,Hosea,何西阿书,何西阿書
29,Joel,Joel,约珥书,約珥書
30,AMO,Amos,阿摩司书,阿摩司書
31,OBA,Obadiah,俄巴底亚书,俄巴底亞書
32,JON,Jonah,约拿书,約拿書
33,MIC,Micah,弥迦书,彌迦書
34,Nahum,Nahum,那鸿书,那鴻書
35,HAB,Habakkuk,哈巴谷书,哈巴谷書
36,Zephaniah,Zephaniah,西番雅书,西番雅書
37,HAG,Haggai,哈该书,哈該書
38,ZEC,Zechariah,撒迦利亚书,撒迦利亞書
39,MAL,Malachi,玛拉基书,瑪拉基書
40,MAT,Matthew,马太福音,馬太福音
41,Mark,Mark,马可福音,馬可福音
42,LUK,Luke,路加福音,路加福音
43,John,John,约翰福音,約翰福音
44,ACT,Acts,使徒行传,使徒行傳
45,ROM,Romans,罗马书,羅馬書
46,1CO,1 Corinthians,哥林多前书,哥林多前書
47,2CO,2 Corinthians,哥林多后书,哥林多後書
48,GAL,Galatians,加拉太书,加拉太書
49,EPH,Ephesians,以弗所书,以弗所書
50,PHP,Philippians,腓立比书,腓利比書
51,COL,Colossians,歌罗西书,歌羅西書
52,1TH,1 Thessalonians,帖撒罗尼迦前书,帖撒羅尼迦前書
53,2TH,2 Thessalonians,帖撒罗尼迦后书,帖撒羅尼迦後書
54,1TI,1 Timothy,提摩太前书,提摩太前書
55,2TI,2 Timothy,提摩太后书,提摩太後書
56,TIT,Titus,提多书,提多書
57,PHM,Philemon,腓利门书,腓利門書
58,HEB,Hebrews,希伯来书,希伯來書
59,JAS,James,雅各书,雅各書
60,1PE,1 Peter,彼得前书,彼得前書
61,2PE,2 Peter,彼得后书,彼得後書
62,1JN,1 John,约翰壹书,約翰壹書
63,2JN,2 John,约翰贰书,約翰貳書
64,3JN,3 John,约翰参书,約翰參書
65,JUD,Jude,犹大书,猶大書
66,REV,Revelation,启示录,啟示錄
