book,chapter,paragraph,title,startVerseNo,endVerseNo
romans,1,1,问候,1,7
romans,1,2,保罗渴望去罗马,8,12
romans,1,3,保罗渴望去罗马,13,15
romans,1,4,保罗渴望去罗马,16,17
romans,1,5,人类的罪恶,18,23
romans,1,6,人类的罪恶,24,25
romans,1,7,人类的罪恶,26,27
romans,1,8,人类的罪恶,28,32
romans,2,9,上帝公义的审判,1,11
romans,2,10,上帝公义的审判,12,16
romans,2,11,犹太人与律法,17,24
romans,2,12,犹太人与律法,25,29
romans,3,13,(无小标题),1,4
romans,3,14,(无小标题),5,8
romans,3,15,没有义人,9,18
romans,3,16,没有义人,19,20
romans,3,17,因信称义,21,26
romans,3,18,因信称义,27,31
romans,4,19,亚伯拉罕的榜样,1,5
romans,4,20,亚伯拉罕的榜样,6,8
romans,4,21,亚伯拉罕的榜样,9,12
romans,4,22,亚伯拉罕的榜样,13,17
romans,4,23,亚伯拉罕的榜样,18,25
romans,5,24,与上帝和好,1,5
romans,5,25,与上帝和好,6,8
romans,5,26,与上帝和好,9,11
romans,5,27,亚当与基督,12,14
romans,5,28,亚当与基督,15,17
romans,5,29,亚当与基督,18,21
romans,6,30,与基督同死同活,1,4
romans,6,31,与基督同死同活,5,7
romans,6,32,与基督同死同活,8,11
romans,6,33,与基督同死同活,12,14
romans,6,34,做义的奴仆,15,18
romans,6,35,做义的奴仆,19,23
romans,7,36,婚姻关系的例子,1,3
romans,7,37,婚姻关系的例子,4,6
romans,7,38,律法使人知罪,7,11
romans,7,39,律法使人知罪,12,13
romans,7,40,善恶相争,14,20
romans,7,41,善恶相争,21,25
romans,8,42,随从圣灵而活,1,4
romans,8,43,随从圣灵而活,5,8
romans,8,44,随从圣灵而活,9,11
romans,8,45,随从圣灵而活,12,13
romans,8,46,随从圣灵而活,14,17
romans,8,47,将来的荣耀,18,25
romans,8,48,将来的荣耀,26,27
romans,8,49,将来的荣耀,28,30
romans,8,50,上帝的爱,31,36
romans,8,51,上帝的爱,37,39
romans,9,52,上帝的选民,1,5
romans,9,53,上帝的选民,6,9
romans,9,54,上帝的选民,10,13
romans,9,55,上帝的选民,14,15
romans,9,56,上帝的选民,16,18
romans,9,57,上帝的烈怒和怜悯,19,21
romans,9,58,上帝的烈怒和怜悯,22,26
romans,9,59,上帝的烈怒和怜悯,27,28
romans,9,60,上帝的烈怒和怜悯,29,29
romans,9,61,以色列人和福音,30,33
romans,10,62,(无小标题),1,4
romans,10,63,求告主名的都必得救,5,13
romans,10,64,求告主名的都必得救,14,16
romans,10,65,求告主名的都必得救,17,18
romans,10,66,求告主名的都必得救,19,19
romans,10,67,求告主名的都必得救,20,20
romans,10,68,求告主名的都必得救,21,21
romans,11,69,上帝不放弃以色列人,1,4
romans,11,70,上帝不放弃以色列人,5,8
romans,11,71,上帝不放弃以色列人,9,10
romans,11,72,上帝不放弃以色列人,11,12
romans,11,73,外族人得救,13,16
romans,11,74,外族人得救,17,24
romans,11,75,全以色列都要得救,25,27
romans,11,76,全以色列都要得救,28,32
romans,11,77,颂赞上帝,33,36
romans,12,78,为事奉上帝而活,1,2
romans,12,79,为事奉上帝而活,3,8
romans,12,80,相爱相顾,9,16
romans,12,81,相爱相顾,17,19
romans,12,82,相爱相顾,20,20
romans,12,83,相爱相顾,21,21
romans,13,84,服从政府的权柄,1,5
romans,13,85,服从政府的权柄,6,7
romans,13,86,爱邻如己,8,10
romans,13,87,爱邻如己,11,14
romans,14,88,体恤弱者,1,4
romans,14,89,体恤弱者,5,9
romans,14,90,体恤弱者,10,12
romans,14,91,不要使人犯罪,13,18
romans,14,92,不要使人犯罪,19,23
romans,15,93,我为人人,1,6
romans,15,94,我为人人,7,9
romans,15,95,我为人人,10,10
romans,15,96,我为人人,11,11
romans,15,97,我为人人,12,12
romans,15,98,我为人人,13,13
romans,15,99,福音特使,14,21
romans,15,100,保罗计划去罗马,22,29
romans,15,101,保罗计划去罗马,30,32
romans,15,102,保罗计划去罗马,33,33
romans,16,103,介绍菲比,1,2
romans,16,104,问候圣徒,3,16
romans,16,105,提防悖逆者,17,20
romans,16,106,其他人的问候,21,24
romans,16,107,其他人的问候,25,27
